id;check;state;time
144;140;1;17:26:58
145;141;0;02:38:07
146;141;1;19:04:36
147;142;0;19:11:36
148;142;2;19:59:07
149;143;0;03:17:23
150;143;2;23:10:24
151;145;0;21:09:43
152;145;1;23:22:47
153;146;0;20:40:21
154;146;2;22:16:23
155;152;0;01:04:59
156;152;2;08:45:30
157;154;0;07:05:17
158;154;1;07:40:30
159;155;0;00:43:01
160;155;1;05:33:11
161;156;0;04:37:25
162;156;1;15:28:40
163;157;0;03:30:14
164;157;2;11:47:05
165;159;0;14:33:08
166;159;2;19:41:46
167;161;0;01:36:10
168;161;1;08:32:42
169;163;0;18:04:21
170;163;2;21:48:19
171;164;0;11:43:46
172;164;2;14:23:51
173;165;0;20:02:06
174;165;2;21:46:05
175;166;0;14:47:37
176;166;2;15:07:13
177;167;0;06:31:51
178;167;1;17:46:34
179;170;0;08:10:15
180;170;2;09:43:58
181;174;0;01:55:18
182;174;1;03:17:41
183;176;0;12:50:31
184;176;1;20:11:55
185;178;0;05:44:43
186;178;2;11:43:41
187;180;0;00:43:52
188;180;2;09:22:43
189;183;0;05:06:32
190;183;2;21:10:35
191;186;0;02:25:44
192;186;1;06:59:25
193;187;0;14:38:47
194;187;2;23:10:08
195;189;0;22:22:32
196;189;2;22:39:37
197;190;0;22:32:26
198;190;1;23:30:25
199;191;0;17:56:55
200;191;2;23:56:14
201;192;0;21:28:14
202;192;1;23:18:57
203;193;0;00:41:31
204;193;2;07:34:24
205;195;0;14:37:57
206;195;2;22:51:58
207;199;0;09:04:13
208;199;2;10:50:38
209;200;0;05:27:10
210;200;1;08:40:09
211;201;0;01:41:37
212;201;1;21:43:37
213;202;0;16:25:03
214;202;2;22:03:07
215;206;0;04:23:27
216;206;2;12:52:32
217;207;0;20:24:13
218;207;1;23:07:20
219;211;0;06:26:11
220;211;2;11:59:19
221;212;0;00:42:41
222;212;2;01:02:52
223;214;0;18:33:02
224;214;2;23:24:49
225;215;0;03:01:56
226;215;1;09:28:24
227;216;0;23:40:37
228;216;1;23:49:00
229;217;0;22:30:42
230;217;2;22:31:25
231;222;0;00:08:40
232;222;1;06:33:18
233;223;0;21:22:58
234;223;2;23:39:20
235;225;0;21:44:22
236;225;2;23:28:32
237;228;0;16:13:02
238;228;2;20:18:21
239;229;0;03:38:07
240;229;1;20:44:14
241;231;0;18:45:39
242;231;2;21:17:05
243;232;0;19:17:15
244;232;2;19:31:24
245;234;0;16:25:57
246;234;1;23:59:04
247;236;0;09:08:45
248;236;2;21:10:41
249;237;0;09:17:58
250;237;1;17:39:28
251;240;0;23:28:01
252;240;2;23:43:29
253;242;0;00:07:05
254;242;2;06:26:06
255;245;0;02:19:37
256;245;2;23:55:47
257;248;0;02:13:09
258;248;2;13:56:04
259;249;0;19:24:14
260;249;2;22:22:37
261;250;0;20:45:00
262;250;1;23:18:05
263;251;0;20:29:37
264;251;2;22:24:48
265;252;0;07:00:43
266;252;2;10:21:28
267;253;0;03:49:26
268;253;1;20:07:46
269;254;0;12:26:51
270;254;1;21:15:26
271;258;0;07:10:31
272;258;2;16:56:39
273;259;0;09:19:27
274;259;1;23:53:05
275;261;0;12:22:08
276;261;1;14:27:01
277;262;0;01:34:34
278;262;2;12:01:11
279;270;0;21:07:41
280;270;2;22:19:01
281;271;0;21:45:08
282;271;1;23:34:24
283;272;0;23:05:47
284;272;1;23:59:45
285;275;0;14:38:57
286;275;1;17:19:53
287;276;0;00:02:17
288;276;1;02:04:15
289;277;0;18:00:23
290;277;2;21:27:57
291;282;0;21:55:45
292;282;1;23:15:17
293;283;0;23:15:22
294;283;2;23:17:00
295;287;0;04:46:32
296;287;2;20:48:42
297;288;0;18:33:51
298;288;2;20:24:55
299;289;0;03:46:02
300;289;1;11:00:16
301;290;0;21:06:57
302;290;2;23:29:44
303;291;0;06:37:40
304;291;1;08:16:53
305;292;0;14:46:12
306;292;1;21:10:23
307;296;0;07:07:43
308;296;1;16:12:59
309;300;0;04:10:01
310;300;2;16:22:41
311;301;0;09:39:20
312;301;2;20:35:22
313;303;0;06:28:23
314;303;1;21:17:16
315;306;0;17:55:34
316;306;2;18:52:23
317;312;0;15:24:03
318;312;2;18:00:42
319;314;0;06:20:15
320;314;2;10:07:57
321;318;0;15:06:11
322;318;2;17:49:21
323;319;0;03:17:56
324;319;2;16:31:42
325;320;0;05:43:45
326;320;2;21:34:58
327;323;0;03:22:14
328;323;1;18:16:06
329;325;0;15:45:10
330;325;2;19:53:49
331;328;0;22:03:33
332;328;1;23:54:50
333;334;0;17:07:14
334;334;1;18:14:59
335;335;0;08:05:53
336;335;2;10:22:49
337;336;0;06:16:55
338;336;1;13:11:50
339;337;0;06:19:53
340;337;2;09:38:32
341;339;0;10:35:27
342;339;2;17:28:51
343;341;0;19:01:21
344;341;1;20:13:26
345;342;0;03:32:21
346;342;1;04:33:33
347;343;0;14:06:11
348;343;1;18:30:22
349;344;0;00:44:58
350;344;2;06:46:56
351;347;0;00:18:14
352;347;1;05:32:14
353;348;0;12:35:41
354;348;2;23:50:24
355;349;0;19:50:23
356;349;2;21:52:56
357;352;0;09:04:46
358;352;1;15:07:34
359;354;0;02:45:25
360;354;2;19:05:00
361;355;0;17:53:57
362;355;2;23:46:28
363;356;0;09:44:35
364;356;1;12:11:24
365;363;0;01:36:43
366;363;1;17:28:33
367;365;0;03:44:39
368;365;1;14:56:35
369;367;0;09:22:06
370;367;2;17:10:43
371;370;0;12:05:08
372;370;1;22:06:58
373;371;0;07:24:16
374;371;2;20:48:42
375;372;0;05:48:33
376;372;1;18:43:51
377;374;0;00:43:12
378;374;2;10:36:04
379;377;0;22:06:15
380;377;1;22:36:49
381;378;0;03:31:52
382;378;1;15:17:35
383;380;0;21:16:44
384;380;1;22:00:29
385;381;0;09:17:55
386;381;2;16:59:35
387;386;0;01:05:24
388;386;1;19:17:53
389;392;0;11:27:24
390;392;2;17:16:18
391;393;0;23:57:30
392;393;2;23:59:39
393;396;0;08:51:23
394;396;1;13:01:07
395;397;0;00:06:32
396;397;2;01:19:51
397;398;0;07:16:04
398;398;1;15:35:10
399;400;0;02:34:31
400;400;1;19:23:16
401;401;0;23:17:19
402;401;1;23:49:29
403;402;0;06:40:25
404;402;1;12:24:59
405;403;0;00:22:30
406;403;2;18:01:29
407;409;0;00:09:44
408;409;2;10:18:45
409;410;0;13:37:28
410;410;1;21:04:40
411;418;0;08:40:50
412;418;2;19:18:48
413;419;0;04:50:32
414;419;2;17:34:50
415;421;0;14:59:38
416;421;2;18:50:26
417;422;0;10:14:49
418;422;1;17:24:47
419;424;0;20:44:56
420;424;1;23:20:00
421;427;0;03:03:54
422;427;2;06:15:07
423;428;0;08:48:55
424;428;1;10:58:33
425;429;0;22:10:26
426;429;2;23:04:59
427;430;0;10:04:35
428;430;2;14:24:02
429;432;0;07:12:21
430;432;1;17:02:01
431;433;0;21:00:37
432;433;2;22:59:26
433;434;0;01:29:35
434;434;2;06:15:02
435;438;0;08:30:01
436;438;1;15:48:04
437;440;0;23:52:48
438;440;2;23:55:14
439;441;0;11:22:56
440;441;2;22:46:47
441;442;0;23:34:30
442;442;1;23:59:24
443;445;0;21:25:19
444;445;1;23:52:43
445;446;0;20:33:18
446;446;1;22:21:48
447;448;0;18:11:43
448;448;2;19:17:03
449;451;0;13:33:40
450;451;2;23:01:23
451;452;0;14:29:25
452;452;1;16:46:52
453;454;0;12:47:39
454;454;2;20:03:08
455;457;0;02:13:14
456;457;2;02:42:51
457;458;0;01:30:15
458;458;1;15:36:23
459;459;0;19:34:44
460;459;2;20:44:03
461;463;0;10:34:14
462;463;1;21:29:06
463;467;0;02:47:27
464;467;1;12:33:26
465;468;0;08:27:13
466;468;2;20:50:57
467;469;0;14:36:28
468;469;1;17:07:40
469;470;0;06:25:35
470;470;2;20:49:45
471;472;0;06:42:03
472;472;1;20:38:02
473;473;0;02:36:04
474;473;1;16:30:53
475;474;0;02:28:01
476;474;2;12:26:59
477;477;0;17:24:17
478;477;2;18:05:00
479;479;0;11:34:57
480;479;1;18:00:51
481;481;0;18:04:36
482;481;2;20:30:45
483;482;0;06:18:55
484;482;2;15:38:30
485;484;0;07:53:15
486;484;1;17:26:21
487;486;0;00:04:25
488;486;1;21:40:34
489;488;0;03:31:56
490;488;1;19:21:29
491;490;0;07:49:43
492;490;2;14:35:58
493;491;0;22:55:09
494;491;2;23:05:58
495;493;0;20:59:12
496;493;2;21:12:30
497;495;0;19:56:00
498;495;2;20:34:09
499;499;0;20:54:47
500;499;2;23:02:03
501;502;0;12:47:06
502;502;2;20:30:23
503;509;0;16:38:03
504;509;2;16:39:42
505;510;0;18:09:35
506;510;2;21:46:59
507;511;0;16:19:48
508;511;1;17:37:21
509;515;0;16:30:00
510;515;1;19:54:59
511;518;0;12:16:40
512;518;2;18:54:59
513;519;0;08:24:33
514;519;2;11:20:10
515;528;0;07:05:43
516;528;2;22:06:29
517;529;0;04:01:17
518;529;1;06:42:07
519;532;0;21:11:27
520;532;2;22:13:20
521;533;0;02:12:58
522;533;1;19:50:41
523;534;0;03:05:30
524;534;2;19:31:32
525;538;0;05:33:17
526;538;2;22:52:38
527;541;0;08:07:30
528;541;1;15:34:21
529;542;0;01:45:19
530;542;1;08:59:19
531;545;0;06:20:04
532;545;2;07:29:28
533;546;0;04:19:03
534;546;2;15:03:03
535;550;0;20:31:03
536;550;2;20:46:40
537;554;0;06:20:29
538;554;2;21:57:59
539;556;0;23:18:40
540;556;2;23:28:35
541;558;0;21:52:44
542;558;1;23:45:17
543;559;0;04:19:47
544;559;2;09:09:08
545;562;0;15:16:30
546;562;1;21:36:39
547;564;0;13:41:42
548;564;1;20:52:23
549;566;0;04:59:33
550;566;1;21:08:31
551;567;0;07:48:57
552;567;2;19:40:41
553;568;0;00:19:04
554;568;1;11:13:16
555;569;0;22:00:13
556;569;2;22:28:55
557;570;0;05:58:26
558;570;2;10:31:40
559;573;0;01:46:55
560;573;1;16:12:36
561;574;0;20:09:00
562;574;1;22:36:27
563;576;0;19:17:36
564;576;1;21:16:58
565;578;0;01:03:49
566;578;2;10:26:23
567;583;0;19:15:31
568;583;1;21:46:19
569;586;0;19:41:37
570;586;2;23:05:49
571;587;0;07:58:34
572;587;2;22:40:56
573;589;0;18:33:37
574;589;1;22:58:49
575;600;0;12:45:47
576;600;2;15:03:45
577;601;0;14:39:53
578;601;1;16:56:20
579;603;0;18:48:35
580;603;2;23:52:09
581;605;0;07:37:15
582;605;2;14:20:51
583;608;0;16:27:25
584;608;2;16:44:26
585;609;0;23:40:02
586;609;1;23:53:22
587;610;0;19:05:53
588;610;1;20:56:52
589;611;0;16:31:42
590;611;1;22:12:20
591;612;0;16:03:22
592;612;2;20:55:19
593;613;0;05:45:05
594;613;1;17:56:23
595;616;0;15:40:54
596;616;2;16:15:44
597;617;0;19:25:48
598;617;2;19:37:51
599;620;0;21:13:29
600;620;2;22:58:14
601;622;0;09:27:40
602;622;1;16:05:33
603;623;0;03:01:05
604;623;1;11:51:54
605;625;0;18:26:45
606;625;1;21:28:59
607;628;0;06:02:46
608;628;1;14:42:20
609;629;0;00:45:59
610;629;2;11:44:27
611;630;0;07:28:35
612;630;2;14:46:32
613;634;0;04:23:46
614;634;2;05:52:13
615;635;0;05:36:56
616;635;1;07:23:35
617;636;0;18:09:33
618;636;1;22:16:26
619;638;0;14:26:56
620;638;2;17:24:48
621;639;0;03:12:04
622;639;1;11:22:11
623;641;0;02:59:27
624;641;2;19:40:33
625;643;0;11:12:53
626;643;1;16:38:53
627;645;0;21:09:08
628;645;2;23:18:13
629;648;0;15:33:15
630;648;2;17:58:21
631;655;0;05:10:53
632;655;1;11:32:17
633;663;0;12:54:41
634;663;1;18:38:04
635;668;0;05:58:24
636;668;1;20:52:46
637;669;0;22:35:52
638;669;2;23:04:44
639;670;0;16:38:50
640;670;2;18:02:15
641;671;0;23:23:23
642;671;1;23:43:47
643;672;0;19:29:37
644;672;1;22:57:46
645;674;0;20:22:54
646;674;1;22:35:55
647;675;0;05:35:52
648;675;2;08:47:31
649;678;0;01:50:12
650;678;1;03:38:41
651;679;0;20:11:07
652;679;1;23:05:13
653;680;0;18:43:33
654;680;2;19:19:16
655;683;0;21:47:49
656;683;1;21:49:27
657;684;0;05:51:48
658;684;1;13:14:36
659;685;0;20:59:53
660;685;1;22:56:44
661;688;0;22:59:42
662;688;2;23:42:50
663;690;0;20:56:54
664;690;1;21:53:41
665;691;0;21:46:56
666;691;1;23:54:05
667;693;0;21:22:39
668;693;1;22:29:33
669;695;0;09:22:32
670;695;2;11:44:00
671;696;0;10:50:59
672;696;1;22:49:25
673;697;0;08:23:25
674;697;1;19:04:39
675;699;0;18:11:53
676;699;2;22:27:46
677;701;0;13:31:31
678;701;1;17:54:34
679;705;0;11:43:33
680;705;2;20:57:02
681;706;0;15:22:58
682;706;2;23:31:23
683;708;0;02:19:05
684;708;1;02:54:01
685;710;0;11:28:13
686;710;2;23:40:37
687;713;0;21:48:12
688;713;2;23:48:49
689;714;0;21:45:01
690;714;1;23:10:51
691;715;0;18:50:37
692;715;1;21:55:46
693;717;0;17:36:28
694;717;2;17:44:16
695;718;0;06:26:06
696;718;2;13:52:01
697;719;0;03:35:53
698;719;2;09:01:51
699;720;0;05:55:30
700;720;1;07:57:17
701;721;0;10:06:30
702;721;1;10:16:40
703;722;0;23:00:00
704;722;2;23:23:11
705;726;0;17:35:41
706;726;2;18:56:09
707;727;0;14:08:01
708;727;1;21:37:11
709;728;0;23:04:17
710;728;2;23:34:25
711;730;0;23:46:21
712;730;1;23:50:33
713;731;0;23:57:21
714;731;1;23:58:33
715;732;0;14:27:12
716;732;2;19:10:51
717;735;0;18:43:22
718;735;2;22:19:50
719;739;0;08:09:25
720;739;2;20:09:36
721;740;0;04:26:26
722;740;1;16:49:41
723;743;0;20:39:30
724;743;2;20:42:21
725;748;0;04:09:27
726;748;2;07:24:03
727;749;0;08:39:45
728;749;1;16:14:04
729;751;0;12:55:22
730;751;2;23:00:50
731;752;0;11:56:02
732;752;1;20:59:56
733;753;0;03:58:26
734;753;2;07:52:32
735;755;0;07:52:08
736;755;1;10:52:48
737;756;0;02:00:42
738;756;1;14:45:23
739;759;0;02:57:29
740;759;2;04:56:21
741;761;0;22:52:08
742;761;2;22:52:55
743;762;0;23:48:04
744;762;2;23:55:57
745;764;0;14:02:47
746;764;1;15:11:41
747;765;0;03:42:56
748;765;2;21:08:17
749;767;0;10:07:57
750;767;2;13:03:22
751;770;0;20:37:56
752;770;1;22:00:30
753;772;0;08:55:24
754;772;2;13:30:34
755;773;0;09:04:39
756;773;1;12:06:20
757;777;0;20:15:31
758;777;1;23:35:53
759;779;0;19:18:30
760;779;2;21:08:17
761;780;0;11:18:00
762;780;1;17:14:09
763;783;0;12:27:53
764;783;2;13:22:30
765;786;0;04:53:11
766;786;1;07:05:40
767;789;0;16:12:30
768;789;2;17:24:40
769;790;0;02:33:42
770;790;1;17:39:31
771;792;0;20:34:56
772;792;2;22:26:18
773;794;0;10:06:25
774;794;1;20:00:22
775;795;0;06:14:09
776;795;1;11:54:59
777;796;0;14:25:48
778;796;2;18:46:07
779;799;0;04:20:38
780;799;1;15:38:10
781;800;0;21:12:43
782;800;2;23:51:07
783;801;0;04:35:14
784;801;2;14:11:25
785;803;0;21:53:49
786;803;1;22:01:42
787;810;0;17:20:57
788;810;2;17:40:40
789;811;0;10:53:25
790;811;2;23:43:32
791;812;0;21:01:32
792;812;2;23:57:25
793;814;0;15:55:02
794;814;2;16:53:28
795;815;0;02:21:19
796;815;1;19:28:31
797;818;0;05:32:22
798;818;1;06:43:36
799;821;0;15:18:07
800;821;2;21:58:58
801;822;0;00:59:20
802;822;2;20:24:56
803;825;0;16:39:57
804;825;2;21:40:38
805;826;0;14:05:45
806;826;2;17:17:09
807;827;0;10:16:58
808;827;1;14:17:57
809;828;0;21:34:12
810;828;1;21:49:48
811;831;0;23:50:05
812;831;2;23:58:29
813;832;0;14:09:50
814;832;2;22:56:42
815;833;0;00:52:05
816;833;2;10:48:05
817;834;0;13:50:39
818;834;1;21:15:42
819;837;0;19:13:54
820;837;1;22:30:20
821;846;0;04:52:41
822;846;2;08:40:47
823;847;0;09:52:49
824;847;2;11:24:24
825;851;0;20:08:47
826;851;1;20:53:36
827;852;0;09:46:53
828;852;1;11:48:42
829;854;0;06:15:19
830;854;2;13:47:41
831;858;0;16:45:39
832;858;1;19:20:13
833;859;0;11:14:01
834;859;1;23:19:49
835;865;0;07:07:35
836;865;1;15:47:55
837;869;0;13:53:12
838;869;1;22:29:44
839;870;0;03:58:48
840;870;1;12:51:52
841;872;0;21:23:40
842;872;1;22:46:03
843;874;0;03:56:18
844;874;2;15:30:22
845;876;0;15:56:09
846;876;2;16:41:30
847;878;0;02:58:14
848;878;2;18:36:16
849;881;0;02:15:00
850;881;1;04:04:02
851;882;0;16:05:56
852;882;2;18:04:50
853;884;0;09:47:03
854;884;1;20:30:09
855;885;0;03:33:28
856;885;1;15:21:31
857;886;0;03:25:40
858;886;2;14:29:23
859;888;0;22:09:41
860;888;1;22:50:15
861;890;0;23:31:26
862;890;2;23:58:55
863;891;0;18:55:18
864;891;2;22:25:41
865;895;0;09:28:49
866;895;1;10:30:15
867;896;0;14:40:59
868;896;2;20:07:30
869;898;0;07:58:24
870;898;2;23:43:34
871;899;0;08:23:53
872;899;2;19:11:08
873;906;0;00:58:03
874;906;2;23:19:52
875;907;0;08:16:35
876;907;2;09:09:14
877;908;0;06:15:02
878;908;2;15:41:03
879;910;0;10:46:32
880;910;2;17:41:15
881;913;0;09:11:22
882;913;1;11:28:23
883;914;0;03:45:21
884;914;2;20:49:50
885;915;0;07:19:43
886;915;2;16:12:46
887;918;0;10:42:44
888;918;1;14:18:20
889;919;0;06:15:47
890;919;1;23:02:31
891;922;0;19:05:06
892;922;2;22:08:55
893;926;0;07:47:15
894;926;2;14:08:26
895;929;0;22:12:12
896;929;1;23:38:01
897;930;0;00:50:06
898;930;1;09:34:25
899;933;0;01:01:55
900;933;2;13:16:09
901;934;0;23:51:14
902;934;2;23:56:54
903;936;0;19:00:10
904;936;1;20:21:38
905;939;0;12:53:50
906;939;2;22:14:14
907;940;0;08:33:28
908;940;1;21:34:35
909;942;0;10:08:26
910;942;2;18:58:32
911;943;0;08:10:08
912;943;2;19:13:32
913;949;0;20:44:08
914;949;2;22:31:16
915;950;0;16:03:56
916;950;2;19:32:44
917;951;0;06:01:55
918;951;2;22:19:24
919;953;0;10:01:11
920;953;2;16:22:56
921;955;0;22:39:17
922;955;1;23:35:44
923;958;0;06:55:01
924;958;1;14:11:44
925;959;0;18:15:41
926;959;2;19:26:18
927;961;0;15:47:41
928;961;1;18:43:06
929;962;0;18:28:17
930;962;1;21:52:29
931;963;0;15:49:36
932;963;1;21:57:17
933;966;0;14:36:17
934;966;2;19:50:01
935;968;0;04:57:03
936;968;2;06:17:39
937;970;0;20:40:48
938;970;2;21:58:35
939;972;0;03:47:20
940;972;2;14:23:18
941;973;0;02:27:10
942;973;2;11:32:35
943;974;0;22:21:44
944;974;2;23:22:06
945;978;0;01:26:06
946;978;2;07:43:20
947;979;0;12:38:37
948;979;2;15:25:01
949;980;0;05:45:21
950;980;1;06:27:02
951;981;0;05:18:39
952;981;2;05:56:03
953;985;0;17:44:32
954;985;2;22:17:22
955;988;0;00:52:46
956;988;1;18:35:07
957;990;0;08:04:37
958;990;2;12:47:14
959;992;0;12:40:24
960;992;1;17:43:20
961;994;0;23:29:15
962;994;1;23:58:18
963;995;0;21:57:58
964;995;1;22:04:51
965;996;0;17:24:22
966;996;1;19:25:58
967;997;0;18:40:32
968;997;2;23:57:19
969;999;0;18:53:46
970;999;2;19:24:21
971;1001;0;09:54:09
972;1001;1;15:58:12
973;1002;0;22:38:06
974;1002;2;22:41:34
975;1004;0;14:21:47
976;1004;2;20:10:55
977;1005;0;09:28:58
978;1005;1;16:38:19
979;1007;0;00:12:01
980;1007;2;04:45:44
981;1012;0;09:40:03
982;1012;1;11:51:02
983;1015;0;20:15:09
984;1015;1;21:42:13
985;1019;0;11:52:50
986;1019;1;13:55:30
987;1020;0;23:07:43
988;1020;2;23:20:11
989;1022;0;07:10:47
990;1022;1;21:29:23
991;1023;0;20:24:07
992;1023;2;20:44:47
993;1024;0;04:28:47
994;1024;2;11:51:09
995;1026;0;23:07:51
996;1026;1;23:47:35
997;1027;0;05:00:25
998;1027;2;09:26:26
999;1028;0;07:28:48
1000;1028;1;12:39:54
1001;1030;0;09:34:55
1002;1030;2;10:48:54
1003;1032;0;23:20:42
1004;1032;2;23:29:57
1005;1034;0;19:48:58
1006;1034;2;23:54:16
1007;1036;0;00:59:15
1008;1036;2;17:15:19
1009;1039;0;23:25:32
1010;1039;1;23:39:06
1011;1040;0;05:54:11
1012;1040;2;15:47:10
1013;1041;0;20:53:08
1014;1041;2;23:10:44
1015;1048;0;04:11:54
1016;1048;1;12:18:01
1017;1049;0;14:12:05
1018;1049;2;22:43:54
1019;1050;0;03:26:09
1020;1050;2;18:23:30
1021;1051;0;03:13:16
1022;1051;1;12:57:30
1023;1054;0;01:04:05
1024;1054;1;04:44:16
1025;1056;0;04:03:14
1026;1056;2;07:12:41
1027;1057;0;00:21:03
1028;1057;1;22:13:22
1029;1064;0;13:16:00
1030;1064;2;19:49:43
1031;1065;0;21:49:45
1032;1065;1;23:52:31
1033;1067;0;14:57:45
1034;1067;2;17:27:22
1035;1068;0;10:11:28
1036;1068;2;15:29:44
1037;1071;0;09:43:01
1038;1071;1;20:05:07
1039;1074;0;04:27:41
1040;1074;1;19:33:17
1041;1080;0;23:10:07
1042;1080;1;23:22:06
1043;1081;0;10:09:51
1044;1081;1;19:37:41
1045;1084;0;03:40:47
1046;1084;1;06:06:01
1047;1085;0;22:11:52
1048;1085;2;22:33:26
1049;1087;0;09:06:50
1050;1087;2;23:11:50
1051;1089;0;20:00:13
1052;1089;2;23:38:36
1053;1092;0;02:58:29
1054;1092;2;23:25:07
1055;1094;0;16:09:21
1056;1094;2;19:46:31
1057;1095;0;06:37:24
1058;1095;2;08:48:49
1059;1097;0;23:36:28
1060;1097;1;23:51:42
1061;1098;0;09:35:47
1062;1098;1;20:53:07
1063;1102;0;15:10:40
1064;1102;1;16:00:42
1065;1104;0;13:37:32
1066;1104;1;15:40:31
1067;1109;0;17:07:41
1068;1109;2;17:31:21
1069;1111;0;06:38:24
1070;1111;1;11:39:54
1071;1113;0;07:12:33
1072;1113;2;19:01:29
1073;1114;0;22:30:59
1074;1114;2;23:22:47
1075;1115;0;22:48:54
1076;1115;2;23:53:05
1077;1116;0;13:25:16
1078;1116;2;19:50:50
1079;1120;0;07:49:06
1080;1120;2;21:23:42
1081;1122;0;02:35:16
1082;1122;2;08:53:54
1083;1124;0;00:45:11
1084;1124;2;15:48:51
1085;1125;0;11:07:30
1086;1125;1;16:09:03
1087;1126;0;08:19:44
1088;1126;2;20:54:35
1089;1130;0;23:25:57
1090;1130;1;23:35:48
1091;1131;0;04:28:43
1092;1131;2;07:02:19
1093;1132;0;17:50:17
1094;1132;2;23:17:44
1095;1135;0;22:12:30
1096;1135;1;23:36:10
1097;1136;0;02:39:29
1098;1136;1;15:55:43
1099;1139;0;12:41:32
1100;1139;1;15:29:06
1101;1140;0;23:13:42
1102;1140;2;23:32:27
1103;1141;0;13:56:42
1104;1141;2;23:23:54
1105;1144;0;06:10:47
1106;1144;1;11:33:50
1107;1148;0;07:31:08
1108;1148;1;18:18:10
1109;1150;0;20:35:56
1110;1150;2;22:56:50
1111;1151;0;02:36:58
1112;1151;1;14:13:49
1113;1152;0;12:29:58
1114;1152;2;17:21:24
1115;1154;0;04:49:02
1116;1154;2;05:25:22
1117;1155;0;15:58:26
1118;1155;1;17:30:42
1119;1158;0;11:39:52
1120;1158;1;18:20:59
1121;1159;0;06:58:10
1122;1159;1;20:07:19
1123;1160;0;22:17:13
1124;1160;1;22:32:05
1125;1162;0;11:15:03
1126;1162;1;18:12:07
1127;1164;0;23:56:15
1128;1164;2;23:59:12
1129;1167;0;17:59:43
1130;1167;1;20:40:02
1131;1168;0;06:29:16
1132;1168;1;09:59:31
1133;1169;0;02:32:34
1134;1169;2;09:30:31
1135;1170;0;07:32:19
1136;1170;1;21:58:35
1137;1171;0;23:36:37
1138;1171;1;23:57:18
1139;1175;0;22:46:07
