id;checking_peer;checked_peer;points_amount
63;ubvvcurpkw;eoxiilxnhj;1
64;apjlxqozfr;iosfiypdje;1
65;tsbtjfdece;iosfiypdje;1
66;gqqubkzijp;iosfiypdje;1
67;vexcsqfiqj;iosfiypdje;3
68;vxleeglmbx;iosfiypdje;1
69;fjtetfarhj;iosfiypdje;1
70;upkiseknsk;wgevttqlhm;1
71;vexcsqfiqj;wgevttqlhm;1
72;hnmowbapyg;wgevttqlhm;1
73;izxjnapetl;wgevttqlhm;1
74;ufxxdgaonz;jlbpsacywv;3
75;qgljzebhhh;jlbpsacywv;2
76;yhkmdwuaab;jlbpsacywv;2
77;qgljzebhhh;ybutbkkuvv;1
78;qzugvmwyuj;ybutbkkuvv;1
79;kztnjrkspn;ybutbkkuvv;2
80;jkcyxzyxad;ybutbkkuvv;1
81;bxpbsefyup;xdurlvroay;1
82;kztnjrkspn;xdurlvroay;3
83;salzoudbvi;xdurlvroay;1
84;uhekdxgyae;xdurlvroay;1
85;fkhuuqvqga;xdurlvroay;1
86;gylmepbguu;xdurlvroay;1
87;vrcksyouoq;oolzsbojpr;1
88;gylmepbguu;oolzsbojpr;1
89;ksuqrqxybk;oolzsbojpr;1
90;gylmepbguu;xnkdsaqcey;4
91;idzrgwibxa;xnkdsaqcey;1
92;fwpzdovoky;xnkdsaqcey;1
93;uqlahafhut;xnkdsaqcey;1
94;fjztnkwlhg;xnkdsaqcey;1
95;jkpkpvygcd;xnkdsaqcey;1
96;fjztnkwlhg;auwppcnlar;1
97;oejvdzfzoq;auwppcnlar;1
98;fjztnkwlhg;fkqelnsrss;2
99;bqkefaphlh;fkqelnsrss;1
100;mvxdjdolfw;gckkemwatl;1
101;fjztnkwlhg;gckkemwatl;1
102;gvekdpwxdk;gckkemwatl;1
103;hyhhddrzho;gckkemwatl;3
104;mxvzvsuoxx;gckkemwatl;1
105;ytvesigegb;gckkemwatl;1
106;qybfujjizv;hhewkxwvzi;1
107;hyhhddrzho;hhewkxwvzi;2
108;srqmfjnusl;hhewkxwvzi;1
109;hyhhddrzho;rbhcyetqdu;2
110;bdmuiilmnu;rbhcyetqdu;1
111;phheptivfl;iosfiypdje;1
112;hyhhddrzho;iosfiypdje;2
113;dsafmjlkwz;iosfiypdje;1
114;fxggxeznrw;iosfiypdje;1
115;cyjmrrlgqe;iosfiypdje;2
116;rzmyyhjgwu;iosfiypdje;1
117;zjnnnohbro;iosfiypdje;1
118;cyjmrrlgqe;qwjvshnzsn;1
119;pqlrhcusfm;qwjvshnzsn;1
120;kcgpafloxc;qwjvshnzsn;2
121;cixoavnljx;qwjvshnzsn;1
122;kbvicnkkmi;qwjvshnzsn;1
123;wofhxrcfmj;thyrtwnsgs;2
124;dzmhlvutiy;thyrtwnsgs;1
125;wvhpheepdh;thyrtwnsgs;3
126;kwchuccdut;thyrtwnsgs;1
127;vpqpzmerpl;thyrtwnsgs;1
128;qeqnynmqcf;thyrtwnsgs;1
129;wvhpheepdh;izdmjnmdzn;1
130;nddwvprkru;izdmjnmdzn;1
131;omnuyqhcfn;wbbmjueeye;1
132;ecqnbfpiue;wudzjkpmyz;3
133;tgamqsoveb;wudzjkpmyz;1
134;znqkrcwabl;wudzjkpmyz;1
135;vzehoiitpi;wudzjkpmyz;1
136;ecqnbfpiue;tsbtjfdece;2
137;kdvfscrdbf;tsbtjfdece;1
138;pxqkvguwdl;tsbtjfdece;1
139;mzimoqmpll;tsbtjfdece;1
140;mzimoqmpll;zcjpeorczh;4
141;fzepvjzmyt;zcjpeorczh;1
142;fvnsievqef;zcjpeorczh;1
143;zgwrxogpye;zcjpeorczh;1
144;nxzwuznaih;zcjpeorczh;1
145;mzimoqmpll;wbbmjueeye;2
146;vbiaclusrg;wbbmjueeye;1
147;pdejbxwsvg;wbbmjueeye;1
148;ylnqxkjivi;wbbmjueeye;1
149;bcoojbefax;wbbmjueeye;1
150;iiscfxwzwp;kpbqvduxvc;1
151;grmgfwmbln;kpbqvduxvc;1
152;tikttpforn;kpbqvduxvc;1
153;krwjayqexx;kpbqvduxvc;3
154;toodgegjkm;kpbqvduxvc;1
155;kvovxkmsxq;vexcsqfiqj;1
156;rpwqhaxkeu;vexcsqfiqj;2
157;kjvjuyoyxy;vexcsqfiqj;1
158;zkvwkkzwne;vexcsqfiqj;1
159;rpwqhaxkeu;nkrzxkzxkn;3
160;ipwkxchyoz;nkrzxkzxkn;1
161;ggwagrkuya;nkrzxkzxkn;1
162;aijtqjpxag;wbbmjueeye;1
163;rpwqhaxkeu;wbbmjueeye;1
164;xttgbdoflb;wbbmjueeye;1
165;rpwqhaxkeu;xcirrryiiv;5
166;wppqkwosgt;xcirrryiiv;1
167;zjlaiqdebv;xcirrryiiv;1
168;ptcxezmdze;xcirrryiiv;1
169;ijckrvkufr;xcirrryiiv;1
170;rpwqhaxkeu;izxjnapetl;1
171;ngpjkvjbzc;izxjnapetl;1
172;cvxcngcxhi;izxjnapetl;1
173;acrjfgkyfj;izxjnapetl;1
174;iamoxnqjmt;izxjnapetl;1
175;xwgfzzjmoe;izxjnapetl;1
176;iamoxnqjmt;wqmxjkjnci;2
177;lyzueawwle;wqmxjkjnci;1
178;jfpqphmvip;wqmxjkjnci;1
179;iamoxnqjmt;wbbmjueeye;1
180;sohiypdjgc;wbbmjueeye;1
181;icftmyxypf;wbbmjueeye;1
182;xjtndtluec;ytrqpqnmuh;1
183;icftmyxypf;ytrqpqnmuh;2
184;ocfgzuelyy;ytrqpqnmuh;1
185;bbfmrykqxk;ytrqpqnmuh;2
186;rzvwwupzdp;ytrqpqnmuh;1
187;urxybfdkyf;qgljzebhhh;1
188;bbfmrykqxk;qgljzebhhh;4
189;prixpltyas;qgljzebhhh;1
190;rmoueftgyu;qgljzebhhh;1
191;curcxoqijc;qgljzebhhh;1
192;egnaaqfsrg;qgljzebhhh;1
193;mgaiwotgyi;qgljzebhhh;1
194;njetkubwoh;lmwlxetnjm;1
195;mgaiwotgyi;lmwlxetnjm;3
196;kkgpzkpsnf;lmwlxetnjm;1
197;hemsvqighy;lmwlxetnjm;1
198;cqwpurhqqm;lmwlxetnjm;1
199;owfzlpfxuj;lmwlxetnjm;1
200;owfzlpfxuj;wbbmjueeye;1
201;oahzgmlakk;riwqhjxwuj;1
202;owfzlpfxuj;riwqhjxwuj;3
203;pezzsimvzo;riwqhjxwuj;1
204;raiodbypec;riwqhjxwuj;1
205;kssieukgmh;riwqhjxwuj;1
206;owfzlpfxuj;kztnjrkspn;5
207;vfvwrnhifo;kztnjrkspn;1
208;osfvdivgor;kztnjrkspn;1
209;dnuhcaywvy;kztnjrkspn;1
210;xtedayzfan;kztnjrkspn;1
211;hqhkxvvrwq;kztnjrkspn;1
212;owfzlpfxuj;wwenufohjc;5
213;fpmoyenjlx;wwenufohjc;1
214;xvrbybaoiu;wwenufohjc;1
215;tkeecgxzar;wwenufohjc;1
216;utmuukwkuu;prbedzugjq;1
217;tykrgylyfv;prbedzugjq;1
218;etdgpadulo;hrtxueulkl;1
219;owfzlpfxuj;hrtxueulkl;1
220;ngfdtxqwph;gylmepbguu;1
221;owfzlpfxuj;gylmepbguu;3
222;irypnfouub;gylmepbguu;1
223;fgtjhaluwu;gylmepbguu;1
224;ogtgzadqjv;ukoweesqdw;1
225;owfzlpfxuj;ukoweesqdw;1
226;kcowqkanng;ukoweesqdw;1
227;lyeoxpfbah;ukoweesqdw;1
228;fgpshbvgpw;ukoweesqdw;2
229;ajsrzylgos;ukoweesqdw;1
230;jjbtwwbelo;ukoweesqdw;1
231;fgpshbvgpw;prbedzugjq;2
232;pptaypanxo;prbedzugjq;1
233;ingswnkpmt;prbedzugjq;1
234;fgpshbvgpw;vvljwluyxn;4
235;njkyuuvmdz;vvljwluyxn;1
236;dfpmsxzlds;vvljwluyxn;1
237;zjeolwbusq;vvljwluyxn;1
238;pnslviygic;vvljwluyxn;1
239;fgpshbvgpw;fjztnkwlhg;5
240;iwtfbqtbvv;fjztnkwlhg;1
241;uepkxuqyan;fjztnkwlhg;1
242;kfgmdhoixr;fjztnkwlhg;1
243;gsnzidvlfu;fjztnkwlhg;1
244;fgpshbvgpw;dnafdfodeq;1
245;jtogfmbdri;dnafdfodeq;1
246;yfwwjedqip;dnafdfodeq;3
247;oqlxdwqnjp;dnafdfodeq;1
248;oeriuehmed;dnafdfodeq;1
249;hdpmximxby;prbedzugjq;1
250;vqntdkegrl;prbedzugjq;2
251;czxrvkgwbd;prbedzugjq;1
252;tclypvkevj;prbedzugjq;1
253;swrfaomxof;prbedzugjq;1
254;jgeqjsmrdq;prbedzugjq;1
255;swrfaomxof;atkakekrbw;4
256;mtzlimngiw;atkakekrbw;1
257;ojjxyljwlc;atkakekrbw;1
258;thizxlryje;atkakekrbw;1
259;zdqppzmxtw;atkakekrbw;1
260;wgtjathsaw;hyhhddrzho;1
261;zdqppzmxtw;hyhhddrzho;2
262;utlxbzumyj;hyhhddrzho;1
263;xwzmmhwwto;brozywzsxr;1
264;zdqppzmxtw;brozywzsxr;2
265;kigfrfwxyo;brozywzsxr;1
266;xyfdlkwwvl;brozywzsxr;1
267;fwqbodsvpa;xshctjmsxa;1
268;dezpvtxqlj;xshctjmsxa;1
269;uikzndwawe;jezszhduhn;2
270;rhjakqmugb;jezszhduhn;1
271;zevloacmre;cyjmrrlgqe;1
272;uikzndwawe;cyjmrrlgqe;4
273;xtthtbilch;cyjmrrlgqe;1
274;ujuosmache;cyjmrrlgqe;1
275;lwjfgifanh;cjnhnzhncl;1
276;wvyxlwyzfp;cjnhnzhncl;2
277;bclymmgjse;cjnhnzhncl;1
278;sbjscpldzz;xshctjmsxa;1
279;wvyxlwyzfp;xshctjmsxa;1
280;aymbligspq;pppwykyvti;1
281;wvyxlwyzfp;pppwykyvti;1
282;jnlnhwklip;pppwykyvti;1
283;puuiraipef;pppwykyvti;1
284;gmsftovtgg;pppwykyvti;1
285;pmmmfhgqst;pppwykyvti;1
286;eeaokkulyn;kcgpafloxc;1
287;pmmmfhgqst;kcgpafloxc;2
288;jnkesqpusx;kcgpafloxc;1
289;pmmmfhgqst;woormincmt;4
290;jrzggsanec;woormincmt;1
291;hbkmdkxunk;woormincmt;1
292;uflgdsbfjb;woormincmt;1
293;fjosaplrvp;woormincmt;1
294;cchmoxlpyj;xshctjmsxa;1
295;hiolgbngzz;xshctjmsxa;1
296;iqfbevwjtd;xshctjmsxa;1
297;ombgyyzmvv;xshctjmsxa;1
298;ridgedprtg;xshctjmsxa;1
299;qlbadwylwx;xshctjmsxa;1
300;ridgedprtg;becqjjgnrn;5
301;szwtvezeeg;becqjjgnrn;1
302;ojrualnsdf;becqjjgnrn;1
303;gqubdalxqr;becqjjgnrn;1
304;nsvcervzji;becqjjgnrn;1
305;ridgedprtg;wofhxrcfmj;2
306;rjvzmnxsiv;wofhxrcfmj;1
307;nuwhevhksl;mrookxysxj;1
308;ridgedprtg;mrookxysxj;3
309;joazhtxmor;mrookxysxj;1
310;rtvbefjbqi;mrookxysxj;1
311;tdjejptcin;jlbpsacywv;1
312;ridgedprtg;jlbpsacywv;4
313;higmjzjptr;jlbpsacywv;1
314;nrxpjqvqvc;jlbpsacywv;1
315;qzmujxmnvj;aoeqfhawbf;1
316;ridgedprtg;aoeqfhawbf;5
317;vlyqjuktuk;aoeqfhawbf;1
318;ykzvibqkuy;aoeqfhawbf;1
319;ynopvxnfyd;aoeqfhawbf;1
320;wsdsifquev;aoeqfhawbf;1
321;hvzldcbojg;wvhpheepdh;1
322;ridgedprtg;wvhpheepdh;1
323;bcizkruqxj;rppwfnxnai;1
324;ridgedprtg;rppwfnxnai;1
325;cvirgsemfz;jlbpsacywv;1
326;vufaenjenw;jlbpsacywv;8
327;qpclwrvlqa;jlbpsacywv;1
328;owcnxnpxlr;jlbpsacywv;1
329;vufaenjenw;gflmtsrapt;3
330;bhixaeopme;gflmtsrapt;1
331;zhzdavxxzj;gflmtsrapt;1
332;vbdbvpacqi;ecqnbfpiue;1
333;vufaenjenw;ecqnbfpiue;1
334;vealekhwjy;ecqnbfpiue;1
335;vufaenjenw;ggjjjrwhpm;3
336;kvujhxqjva;ggjjjrwhpm;1
337;sfbnopvjbt;ggjjjrwhpm;1
338;ctyqatjxbr;ggjjjrwhpm;1
339;depgmeymmy;jlbpsacywv;1
340;dmleiqroqd;jlbpsacywv;1
341;kqpoufcjsg;jlbpsacywv;1
342;fbaojvauth;jlbpsacywv;1
343;vufaenjenw;mfnjnurtoo;4
344;kvjtlkpyfh;mfnjnurtoo;1
345;ggluhpbhpr;mfnjnurtoo;1
346;nboidtyxvs;mfnjnurtoo;1
347;pzdwajwylg;mfnjnurtoo;1
348;vufaenjenw;mzimoqmpll;1
349;tjoolamkct;mzimoqmpll;1
350;rpsgcamffb;mzimoqmpll;1
351;kkizllpykx;huhvfnahks;1
352;ubvvcurpkw;huhvfnahks;2
353;xwpxmjzxli;huhvfnahks;1
354;zzlkfwnlqp;huhvfnahks;1
355;apjlxqozfr;huhvfnahks;1
356;rzacolfrcl;huhvfnahks;1
357;apjlxqozfr;jlbpsacywv;2
358;rrfnrehgga;jlbpsacywv;1
359;gqqubkzijp;jlbpsacywv;3
360;yhtltbuiso;jlbpsacywv;1
361;oclhfcurmu;jlbpsacywv;1
362;bumpqoyjdy;jlbpsacywv;1
363;gqqubkzijp;qknuqvepqz;3
364;vmlrhorvlf;qknuqvepqz;1
365;obvbplsymj;qknuqvepqz;1
366;kpcdvosueg;qknuqvepqz;1
367;gqqubkzijp;grmgfwmbln;2
368;bzqluqtteb;grmgfwmbln;1
369;ncfjerorzy;grmgfwmbln;1
370;vxleeglmbx;grmgfwmbln;1
371;jnbqerfjxs;grmgfwmbln;1
372;vxleeglmbx;qeoawzggkb;4
373;siyachungm;qeoawzggkb;1
374;doooeqpoax;qeoawzggkb;1
375;ketoqkpjpa;jlbpsacywv;1
376;fjtetfarhj;jlbpsacywv;2
377;jtvpvdsspl;jlbpsacywv;1
378;xvrppxyyfl;romkrqeeon;1
379;upkiseknsk;romkrqeeon;1
380;rvqygdobfv;romkrqeeon;1
381;hnmowbapyg;romkrqeeon;1
382;pobqbfahqw;romkrqeeon;1
383;hnmowbapyg;krwjayqexx;2
384;rftqlkvrat;krwjayqexx;1
385;rjgjwdsijv;krwjayqexx;1
386;hnmowbapyg;dotoewgfhu;4
387;xvlbkayoge;dotoewgfhu;1
388;ocvfxjnmte;dotoewgfhu;1
389;wuvqvjyito;jlbpsacywv;1
390;hnmowbapyg;jlbpsacywv;4
391;vsihaqcomt;jlbpsacywv;1
392;uslkuvjaeo;jlbpsacywv;1
393;qmqogvrqqn;jlbpsacywv;1
394;nyqfoosats;ghzhfgllxv;1
395;hnmowbapyg;ghzhfgllxv;3
396;rcsjrhqmdn;ghzhfgllxv;1
397;kbxumdfngb;ghzhfgllxv;1
398;juusqvhxuo;ghzhfgllxv;1
399;ufxxdgaonz;ghzhfgllxv;1
400;odvnwaowhn;rpwqhaxkeu;1
401;ufxxdgaonz;rpwqhaxkeu;3
402;zwoomzejpl;rpwqhaxkeu;1
403;ankrhvqxir;iobcwzqbrd;1
404;ufxxdgaonz;iobcwzqbrd;1
405;wyqrleccdk;jlbpsacywv;1
406;zxpvpwidph;jlbpsacywv;1
407;gvcejjxgxj;jlbpsacywv;1
408;vzehuqvdla;jlbpsacywv;1
409;yhkmdwuaab;udwytasdgo;1
410;abpeebjqxf;udwytasdgo;1
411;wpqjptdywz;cvxcngcxhi;2
412;xpwtajputm;cvxcngcxhi;1
413;nxejpxwnfk;cvxcngcxhi;1
414;qzugvmwyuj;cvxcngcxhi;1
415;mndhguxhcp;vajgsfduvi;1
416;qzugvmwyuj;vajgsfduvi;3
417;gzonicmznc;vajgsfduvi;1
418;smcoithzck;vajgsfduvi;1
419;jkcyxzyxad;vajgsfduvi;1
420;ygexonhunx;vajgsfduvi;1
421;jkcyxzyxad;xnkdsaqcey;9
422;ndgqesydju;xnkdsaqcey;1
423;cairgmvzqz;xnkdsaqcey;1
424;aspcmembak;xnkdsaqcey;1
425;haesmtmiku;xnkdsaqcey;1
426;rdbsbvnafd;ygvrztmohn;1
427;jkcyxzyxad;ygvrztmohn;3
428;xcxarirlpv;ygvrztmohn;1
429;uayxspdqzi;ygvrztmohn;1
430;jkcyxzyxad;iamoxnqjmt;1
431;susrgvnsgj;adhdkrkigr;1
432;jkcyxzyxad;adhdkrkigr;2
433;ltblvvkhgc;adhdkrkigr;1
434;jupuhjlkyw;xnkdsaqcey;1
435;olprhxjpuc;xnkdsaqcey;1
436;oymgfsyeon;xnkdsaqcey;1
437;stirhusney;xnkdsaqcey;1
438;ymxrqmgfgh;bsklteyfdv;1
439;jkcyxzyxad;bsklteyfdv;4
440;shcgzbpson;bsklteyfdv;1
441;hrglrnbqru;bsklteyfdv;1
442;gtbimfoyfp;bsklteyfdv;1
443;jkcyxzyxad;icftmyxypf;2
444;rkgudeetuy;icftmyxypf;1
445;qnngfnhpal;icftmyxypf;1
446;bxpbsefyup;eujzopmmbe;4
447;ifqbedsqrx;eujzopmmbe;1
448;cmnxtibtit;eujzopmmbe;1
449;kxvrktbfzs;eujzopmmbe;1
450;rbzxdzpwem;xnkdsaqcey;1
451;bxpbsefyup;xnkdsaqcey;6
452;fnculhzjqs;gavdtejwie;1
453;bxpbsefyup;gavdtejwie;2
454;cgoiwdzqnw;gavdtejwie;1
455;sbmvhqwxzd;bbfmrykqxk;1
456;bxpbsefyup;bbfmrykqxk;1
457;iwdeocrcap;bbfmrykqxk;1
458;bxpbsefyup;dfjsmkixvq;5
459;sylubagexw;dfjsmkixvq;1
460;fupoklguff;dfjsmkixvq;1
461;yuixxofkee;dfjsmkixvq;1
462;csomdmkvwd;dfjsmkixvq;1
463;wmydlgxwcs;xnkdsaqcey;1
464;bxpbsefyup;ynjkpdlxjq;4
465;vtlsxxchfk;ynjkpdlxjq;1
466;htmtizmyde;ynjkpdlxjq;1
467;bmpvnopntw;ynjkpdlxjq;1
468;zvezgajvxo;ynjkpdlxjq;1
469;bxpbsefyup;mgaiwotgyi;4
470;stfgjfdtgd;mgaiwotgyi;1
471;jnrvmmgqdb;mgaiwotgyi;1
472;gmfdyzgyzl;ybwmbpqqku;1
473;bxpbsefyup;ybwmbpqqku;5
474;vhvdslekgm;ybwmbpqqku;1
475;hztvmbtbdx;ybwmbpqqku;1
476;chyqrdezlx;ybwmbpqqku;1
477;brgdkyvzlw;ybwmbpqqku;1
478;uvoystfqzf;xnkdsaqcey;1
479;qrdsywyqas;xnkdsaqcey;1
480;fwnueodrhd;xnkdsaqcey;1
481;wsrwnmkgzt;xnkdsaqcey;1
482;bxpbsefyup;tsdjdrjvin;1
483;ywzvcztmma;tsdjdrjvin;1
484;bxpbsefyup;owfzlpfxuj;1
485;dwihfmsnwt;owfzlpfxuj;1
486;bxpbsefyup;zwxtmmuwpo;3
487;yzfyulbhpu;zwxtmmuwpo;1
488;hkwuanriva;zwxtmmuwpo;1
489;blmogbxdrj;hhewkxwvzi;1
490;bxpbsefyup;hhewkxwvzi;1
491;ajnvsjsvrz;hhewkxwvzi;1
492;bxpbsefyup;gtrezkmcnh;1
493;xyndgmxity;gtrezkmcnh;1
494;bxpbsefyup;lyeoxpfbah;3
495;psucpmvkqm;lyeoxpfbah;1
496;dxlamsghqx;lyeoxpfbah;1
497;nnsxkdflsu;lyeoxpfbah;1
498;salzoudbvi;xiwnobveul;1
499;uhekdxgyae;xiwnobveul;2
500;celnmyykvr;xiwnobveul;1
501;uecjhhxcbg;xiwnobveul;1
502;fkhuuqvqga;xiwnobveul;2
503;rukussexic;xiwnobveul;1
504;emlencbiom;hhewkxwvzi;1
505;fkhuuqvqga;hhewkxwvzi;3
506;raeqmrzdub;hhewkxwvzi;1
507;wxwkkpikfd;hhewkxwvzi;1
508;ikhyqupsbi;rjizukrlbh;1
509;fkhuuqvqga;rjizukrlbh;2
510;emfpfkvcym;rjizukrlbh;1
511;vhznuncpno;rjizukrlbh;1
512;vrcksyouoq;fgpshbvgpw;1
513;mzfqktbtyd;fgpshbvgpw;1
514;vrcksyouoq;wccmydasmo;3
515;nxbsuqziee;wccmydasmo;1
516;doturadtfv;wccmydasmo;1
517;ksuqrqxybk;wccmydasmo;1
518;mmdrykpqzw;wccmydasmo;1
519;ksuqrqxybk;hhewkxwvzi;3
520;kfikumbdlz;hhewkxwvzi;1
521;gbbibncbjt;hhewkxwvzi;1
522;svhxpwavsf;hhewkxwvzi;1
523;ksuqrqxybk;mklrwhuaqd;5
524;ntperbpikx;mklrwhuaqd;1
525;qqedmuwnem;mklrwhuaqd;1
526;quzzfnsapn;mklrwhuaqd;1
527;rhaljqytel;mklrwhuaqd;1
528;idzrgwibxa;yfwwjedqip;2
529;mbnyabyjtp;yfwwjedqip;1
530;xhvuudbtri;yfwwjedqip;1
531;idzrgwibxa;gzrzrbvgxq;1
532;durpbjuvmv;gzrzrbvgxq;1
533;idzrgwibxa;hhewkxwvzi;1
534;vfsykepsti;hhewkxwvzi;1
535;fwpzdovoky;hhewkxwvzi;1
536;nhxtdobwen;hhewkxwvzi;1
537;fwpzdovoky;xmajhxdssr;3
538;sbogbyetfm;xmajhxdssr;1
539;xijtsepvns;xmajhxdssr;1
540;fwphpziiln;xmajhxdssr;1
541;fwpzdovoky;vqntdkegrl;2
542;cokrykuhht;vqntdkegrl;1
543;whlizlriml;vqntdkegrl;1
544;fwpzdovoky;rejzuxatuz;1
545;mbdysqhzrc;thyrtwnsgs;2
546;vmohftqwgj;thyrtwnsgs;1
547;iiqqnsdnke;thyrtwnsgs;1
548;uqlahafhut;thyrtwnsgs;1
549;cgszhiwivj;ldqqkreukn;1
550;uqlahafhut;ldqqkreukn;2
551;dyrcijduar;ldqqkreukn;1
552;bqheofgaha;swrfaomxof;1
553;jkpkpvygcd;swrfaomxof;1
554;lbbphjxufa;swrfaomxof;1
555;oejvdzfzoq;swrfaomxof;1
556;qljtjxklkz;swrfaomxof;1
557;bqkefaphlh;swrfaomxof;2
558;nnydjrgzwx;swrfaomxof;1
559;fliokfjjud;swrfaomxof;1
560;bqkefaphlh;veuklnrero;4
561;uwrmmpfsva;veuklnrero;1
562;onuknvlpee;veuklnrero;1
563;kcuqujvitt;thyrtwnsgs;1
564;bqkefaphlh;thyrtwnsgs;1
565;unwodezver;thyrtwnsgs;1
566;mvxdjdolfw;thyrtwnsgs;1
567;glhlzjydiq;ldcqsxhyjg;1
568;mvxdjdolfw;ldcqsxhyjg;3
569;svtbkskvhb;ldcqsxhyjg;1
570;atscezffdo;ldcqsxhyjg;1
571;ytnosyfkbv;zdqppzmxtw;1
572;mvxdjdolfw;zdqppzmxtw;1
573;kdhepemesw;zdqppzmxtw;1
574;gvekdpwxdk;zdqppzmxtw;4
575;mnrostlflg;zdqppzmxtw;1
576;nhsdvxwddi;zdqppzmxtw;1
577;ozvfsiwcig;yhlyaokmvd;1
578;gvekdpwxdk;yhlyaokmvd;4
579;grszthjzee;yhlyaokmvd;1
580;tfiktmfrzz;yhlyaokmvd;1
581;peivonpjai;yhlyaokmvd;1
582;shfufmkyaw;yhlyaokmvd;1
583;gvekdpwxdk;tsbtjfdece;3
584;agbvxuzmwy;tsbtjfdece;1
585;xplowsbwau;tsbtjfdece;1
586;qjecjeafhm;adrauyupap;1
587;gvekdpwxdk;adrauyupap;2
588;vgiyfpxuzq;adrauyupap;1
589;gyxlhxhahy;fwqbodsvpa;1
590;mxvzvsuoxx;fwqbodsvpa;4
591;duecwtasqi;fwqbodsvpa;1
592;fnwqjnlnnv;fwqbodsvpa;1
593;jgzyagxuxl;qgqmmxwnvl;1
594;mxvzvsuoxx;qgqmmxwnvl;1
595;cxeksbiwsj;qgqmmxwnvl;1
596;ytvesigegb;qgqmmxwnvl;2
597;yuhzzradmp;qgqmmxwnvl;1
598;hlqntxuotk;qgqmmxwnvl;1
599;ytvesigegb;tsbtjfdece;2
600;tfxmbweckb;tsbtjfdece;1
601;ugxsvphwaa;tsbtjfdece;1
602;qybfujjizv;tsbtjfdece;2
603;atgfalqofh;tsbtjfdece;1
604;tifwyvvgcb;tsbtjfdece;1
605;qybfujjizv;ooougrfyjm;3
606;ietgqbhhux;ooougrfyjm;1
607;ejujckuevr;uikzndwawe;1
608;srqmfjnusl;uikzndwawe;1
609;jcofunkuxu;uikzndwawe;1
610;scmvufudkl;uikzndwawe;2
611;tmwfohlnjm;uikzndwawe;1
612;eowjomnrgt;pensfbuwxu;1
613;scmvufudkl;pensfbuwxu;1
614;ibfesihure;tsbtjfdece;1
615;bdmuiilmnu;tsbtjfdece;2
616;rxcyurtqnr;tsbtjfdece;1
617;jbybknancw;tsbtjfdece;1
618;bdmuiilmnu;wahrtiaiio;1
619;mjnxpbkxdz;wahrtiaiio;1
620;phheptivfl;wahrtiaiio;3
621;xfpvgjiyaz;wahrtiaiio;1
622;hqndwfgpld;wahrtiaiio;1
623;dsafmjlkwz;wahrtiaiio;1
624;dkflcehdbu;wvyxlwyzfp;1
