id;check;xp_amount
444;1968;4
445;1970;193
446;1978;410
447;1982;303
448;1998;247
449;1999;84
450;2000;1
451;2003;87
452;2004;87
453;2010;107
454;2013;94
455;2020;91
456;2021;390
457;2030;488
458;2031;476
459;2034;13
460;2043;197
461;2044;252
462;2053;336
463;2058;272
464;2066;635
465;2074;57
466;2083;43
467;2085;247
468;2090;647
469;2092;7
470;2095;499
471;2098;62
472;2100;38
473;2102;574
474;2106;141
475;2110;331
476;2113;238
477;2114;233
478;2125;27
479;2129;6
480;2132;644
481;2134;163
482;2135;659
483;2137;94
484;2147;231
485;2150;190
486;2151;218
487;2152;354
488;2154;136
489;2164;671
490;2167;148
491;2169;80
492;2170;291
493;2173;140
494;2174;104
495;2179;76
496;2183;194
497;2187;78
498;2201;366
499;2202;907
500;2209;386
501;2212;14
502;2215;684
503;2217;488
504;2225;103
505;2226;90
506;2234;388
507;2237;22
508;2239;351
509;2240;221
510;2242;343
511;2248;215
512;2251;69
513;2252;189
514;2254;91
515;2260;109
516;2268;193
517;2269;395
518;2273;104
519;2276;617
520;2277;287
521;2281;217
522;2282;346
523;2286;89
524;2291;501
525;2292;89
526;2295;94
527;2297;594
528;2298;373
529;2300;349
530;2303;93
531;2305;182
532;2314;51
533;2316;341
534;2321;35
535;2334;62
536;2338;107
537;2345;1
538;2356;120
539;2358;205
540;2365;104
541;2388;70
542;2389;1
543;2390;393
544;2402;18
545;2407;204
546;2409;251
547;2423;308
548;2426;443
549;2434;14
550;2438;405
551;2439;919
552;2452;150
553;2455;370
554;2461;133
555;2473;429
556;2483;719
557;2491;464
558;2492;72
559;2499;99
560;2506;120
561;2510;173
562;2511;77
563;2516;6
564;2522;126
565;2523;125
566;2525;103
567;2526;130
568;2543;108
569;2544;344
570;2546;63
571;2548;197
572;2552;96
573;2561;616
574;2563;394
575;2566;339
576;2571;49
577;2578;509
578;2582;54
579;2588;624
580;2596;329
581;2599;119
582;2600;376
583;2605;36
584;2612;167
585;2614;271
586;2619;109
587;2623;132
588;2624;146
589;2628;93
590;2631;318
591;2632;67
592;2637;293
593;2638;487
594;2640;98
595;2642;400
596;2648;154
597;2652;174
598;2654;298
599;2660;1
600;2664;22
601;2670;90
602;2671;448
603;2672;82
604;2673;66
605;2679;132
606;2692;86
607;2693;667
608;2703;470
609;2713;43
610;2718;40
611;2719;189
612;2722;285
613;2728;242
614;2730;119
615;2734;188
616;2735;629
617;2746;467
618;2748;143
619;2751;59
620;2752;35
621;2758;331
622;2762;131
623;2765;276
624;2767;204
625;2770;155
626;2775;189
627;2777;655
628;2781;153
629;2788;296
630;2791;68
631;2792;34
632;2796;192
633;2800;202
634;2802;380
635;2809;170
636;2810;224
637;2817;2
638;2822;410
639;2828;229
640;2832;236
641;2840;595
642;2842;149
643;2845;501
644;2855;306
645;2862;427
646;2867;487
647;2869;463
648;2871;217
649;2873;45
650;2879;865
651;2882;110
652;2883;8
653;2888;204
654;2895;389
655;2896;83
656;2901;334
657;2904;409
658;2916;269
659;2920;98
660;2923;429
661;2929;353
662;2930;146
663;2938;117
664;2952;7
665;2956;198
666;2957;408
667;2958;184
668;2963;350
669;2966;62
670;2980;260
671;2981;94
672;2983;80
673;2989;142
674;2990;547
675;3003;135
676;3005;489
677;3008;415
678;3015;17
679;3022;281
680;3024;407
681;3025;137
682;3028;149
683;3033;220
684;3037;24
685;3038;39
686;3041;644
687;3045;612
688;3050;163
689;3054;759
690;3068;473
691;3076;456
692;3077;118
693;3083;59
694;3105;533
695;3114;57
696;3115;123
697;3116;368
698;3121;276
699;3127;18
700;3131;24
701;3132;411
702;3135;346
703;3136;619
704;3140;610
705;3141;54
706;3142;116
707;3143;112
708;3148;9
709;3150;418
710;3154;376
711;3158;281
712;3163;72
713;3169;210
714;3170;16
715;3171;772
716;3176;120
717;3178;3
718;3184;201
719;3185;176
720;3188;135
721;3190;40
722;3191;14
723;3200;339
724;3202;365
725;3210;52
726;3212;161
727;3217;59
728;3219;452
729;3221;364
730;3227;439
731;3230;248
732;3231;17
733;3232;226
734;3239;518
735;3240;157
736;3241;90
737;3242;188
738;3243;220
739;3247;73
740;3249;247
741;3250;8
742;3256;328
743;3258;104
744;3264;55
745;3266;11
746;3267;66
747;3273;708
748;3274;95
749;3278;560
750;3279;347
751;3281;161
752;3286;261
753;3298;180
754;3300;334
755;3307;219
756;3313;379
757;3314;267
758;3324;127
759;3326;126
760;3327;494
761;3332;485
762;3334;23
763;3336;76
764;3337;101
765;3338;25
766;3345;351
767;3348;125
768;3366;173
769;3376;126
770;3377;122
771;3382;307
772;3383;88
773;3386;450
774;3388;462
775;3391;243
776;3393;585
777;3395;633
778;3396;139
779;3401;138
780;3404;115
781;3406;75
782;3411;50
783;3416;113
784;3417;79
785;3422;23
786;3423;107
787;3438;99
788;3440;257
789;3442;298
790;3448;257
791;3450;186
792;3451;291
793;3452;222
794;3455;311
795;3456;117
796;3457;33
797;3458;83
798;3459;224
799;3465;147
800;3468;33
801;3469;132
802;3470;111
803;3474;717
804;3478;680
805;3479;8
806;3480;56
807;3484;215
808;3485;48
809;3491;229
810;3494;271
811;3495;48
812;3502;324
813;3504;129
814;3505;741
815;3507;661
816;3510;323
817;3513;271
818;3527;90
819;3529;551
820;3532;150
821;3534;423
822;3542;512
823;3547;387
824;3548;200
825;3551;177
826;3554;670
827;3555;534
828;3560;414
829;3562;169
830;3564;68
831;3568;312
832;3570;131
833;3577;163
834;3578;252
835;3581;620
836;3592;272
837;3598;388
838;3612;72
839;3625;642
840;3627;407
841;3628;375
842;3630;57
843;3632;94
844;3634;161
845;3635;101
846;3639;73
847;3641;140
848;3644;60
849;3645;278
850;3658;12
851;3659;158
852;3660;340
853;3661;172
854;3674;150
855;3676;25
856;3684;90
857;3685;26
858;3700;76
859;3703;279
860;3704;43
861;3706;157
862;3719;588
863;3721;45
864;3722;441
865;3729;541
866;3730;58
867;3734;398
868;3735;410
869;3737;481
870;3738;735
871;3743;379
872;3745;349
873;3751;438
874;3754;492
875;3758;198
876;3771;68
877;3779;104
878;3785;180
879;3787;279
880;3789;142
881;3794;91
882;3795;130
883;3797;355
884;3798;721
885;3799;285
886;3803;416
887;3804;906
888;3806;123
889;3807;117
890;3809;345
891;3811;63
892;3814;203
893;3819;72
894;3821;164
895;3825;53
896;3830;329
897;3831;29
898;3837;213
899;3840;419
900;3847;85
901;3869;389
902;3875;268
903;3878;73
904;3879;296
905;3883;436
906;3899;324
907;3900;290
908;3902;99
909;3905;359
910;3907;208
911;3909;105
912;3914;105
913;3917;2
914;3933;287
915;3934;412
916;3936;475
917;3938;224
918;3947;259
919;3949;25
920;3951;46
921;3952;539
922;3955;406
923;3957;83
924;3963;364
925;3966;436
926;3967;151
927;3972;116
928;3976;121
929;3978;232
930;3979;332
931;3984;373
932;3989;1
933;3996;43
934;3997;277
935;3998;341
936;4004;18
937;4005;54
938;4010;18
939;4022;154
940;4024;374
941;4027;190
942;4030;194
943;4037;308
944;4048;39
945;4049;63
946;4051;427
947;4063;28
948;4064;283
949;4070;652
950;4073;450
951;4083;280
952;4089;275
953;4095;369
954;4096;358
955;4103;153
956;4107;17
957;4112;746
958;4118;86
959;4127;196
960;4128;15
961;4130;375
962;4134;5
963;4136;2
964;4137;141
965;4138;398
966;4140;114
967;4150;231
968;4151;199
969;4153;1
970;4158;345
971;4167;123
972;4168;530
973;4170;345
974;4171;438
975;4175;520
976;4183;100
977;4190;941
978;4194;431
979;4200;230
980;4204;255
981;4205;288
982;4208;94
983;4209;142
984;4215;184
985;4217;306
986;4233;193
987;4239;543
988;4243;138
989;4246;35
990;4257;514
991;4258;335
992;4262;371
993;4266;256
994;4272;671
995;4275;222
996;4277;90
997;4279;441
998;4282;228
999;4285;317
1000;4294;319
1001;4306;49
1002;4312;613
1003;4313;21
1004;4316;238
1005;4318;774
1006;4322;440
1007;4326;260
1008;4327;299
1009;4328;599
1010;4337;174
1011;4340;315
1012;4341;49
1013;4349;241
1014;4350;554
1015;4362;324
1016;4363;354
1017;4369;150
1018;4380;206
1019;4382;226
1020;4383;380
1021;4385;174
1022;4386;364
1023;4392;10
1024;4395;382
1025;4401;201
1026;4403;50
1027;4407;448
1028;4410;270
1029;4411;41
1030;4412;331
1031;4414;214
1032;4415;3
1033;4416;111
1034;4420;165
1035;4422;503
1036;4430;58
1037;4433;112
1038;4434;313
1039;4435;122
1040;4440;123
1041;4441;434
1042;4445;60
1043;4447;219
1044;4454;94
1045;4456;344
1046;4461;57
1047;4477;38
1048;4485;358
1049;4494;7
1050;4495;307
1051;4496;335
1052;4500;328
1053;4502;642
1054;4508;261
1055;4510;345
1056;4515;301
1057;4516;164
1058;4517;133
1059;4520;185
1060;4523;50
1061;4544;153
1062;4546;353
1063;4549;50
1064;4550;236
1065;4552;561
1066;4558;110
1067;4559;191
1068;4560;471
1069;4565;748
1070;4567;9
1071;4568;384
1072;4580;377
1073;4586;472
1074;4588;267
1075;4598;347
1076;4600;322
1077;4601;71
1078;4602;342
1079;4611;6
1080;4616;217
1081;4618;20
1082;4625;18
1083;4626;546
1084;4627;62
1085;4642;858
1086;4646;100
1087;4651;160
1088;4656;460
1089;4666;418
1090;4672;5
1091;4677;368
1092;4678;434
1093;4684;176
1094;4688;372
1095;4689;484
1096;4690;170
1097;4696;343
1098;4697;6
1099;4703;73
1100;4705;331
1101;4709;66
1102;4710;210
1103;4714;148
1104;4717;54
1105;4719;567
1106;4720;211
1107;4723;67
1108;4733;4
1109;4742;286
1110;4755;227
1111;4764;312
1112;4766;238
1113;4767;97
1114;4774;38
1115;4775;229
1116;4780;184
1117;4787;15
1118;4793;341
1119;4796;35
1120;4813;751
1121;4820;158
1122;4822;425
1123;4823;133
1124;4824;499
1125;4830;858
1126;4834;150
1127;4836;37
1128;4837;207
1129;4841;25
1130;4850;162
1131;4851;80
1132;4853;12
1133;4858;658
1134;4860;554
1135;4873;60
1136;4876;103
1137;4886;449
1138;4888;439
1139;4892;424
1140;4899;81
1141;4900;209
1142;4903;340
1143;4911;148
1144;4914;67
1145;4916;373
1146;4919;136
1147;4924;92
1148;4925;333
1149;4928;4
1150;4945;146
1151;4953;276
1152;4954;230
1153;4959;258
1154;4963;47
1155;4966;670
1156;4981;211
1157;4985;0
1158;4986;182
1159;4991;356
1160;4992;81
1161;5000;478
1162;5001;53
1163;5003;295
1164;5005;126
1165;5007;126
1166;5013;338
1167;5028;402
1168;5041;277
1169;5049;206
1170;5051;386
1171;5062;263
1172;5066;4
1173;5067;47
1174;5069;92
1175;5070;447
1176;5073;218
1177;5077;175
1178;5078;300
1179;5079;488
1180;5082;575
1181;5087;376
1182;5089;28
1183;5090;98
1184;5105;96
1185;5112;23
1186;5118;144
1187;5124;183
1188;5134;157
1189;5140;87
1190;5148;366
1191;5150;123
1192;5151;37
1193;5152;146
1194;5159;62
1195;5163;48
1196;5170;279
1197;5179;46
1198;5181;153
1199;5182;295
1200;5183;650
1201;5185;20
1202;5188;319
1203;5194;313
1204;5198;613
1205;5203;107
1206;5217;450
1207;5222;265
1208;5228;267
1209;5232;269
1210;5237;269
1211;5240;206
1212;5241;141
1213;5244;136
1214;5254;159
1215;5260;162
1216;5261;90
1217;5264;378
1218;5265;176
1219;5268;240
1220;5270;153
1221;5284;274
1222;5287;352
1223;5297;437
1224;5298;349
1225;5300;139
1226;5304;497
1227;5309;116
1228;5324;760
1229;5330;73
1230;5335;143
1231;5336;209
1232;5342;327
1233;5353;731
1234;5354;628
1235;5355;812
1236;5356;675
1237;5357;17
1238;5369;467
1239;5371;15
1240;5374;2
1241;5377;97
1242;5380;82
1243;5381;275
1244;5386;369
1245;5387;236
1246;5392;148
1247;5402;154
1248;5406;8
1249;5407;189
1250;5409;80
1251;5420;385
1252;5423;66
1253;5428;104
1254;5429;359
1255;5438;102
1256;5447;464
1257;5449;523
1258;5454;151
1259;5465;489
1260;5467;291
1261;5468;74
1262;5472;99
1263;5473;0
1264;5481;93
1265;5486;420
1266;5488;545
1267;5489;68
1268;5491;337
1269;5500;159
1270;5504;131
1271;5505;140
1272;5510;156
1273;5525;347
1274;5526;409
1275;5534;761
1276;5535;514
1277;5544;33
1278;5548;85
1279;5556;97
1280;5563;62
1281;5575;348
1282;5583;306
1283;5584;228
1284;5586;139
1285;5594;20
1286;5600;225
1287;5601;66
1288;5604;10
1289;5608;393
1290;5610;64
1291;5611;804
1292;5617;30
1293;5622;316
1294;5632;41
1295;5633;70
1296;5635;313
1297;5642;172
1298;5644;49
1299;5647;147
1300;5651;66
1301;5652;319
1302;5654;87
1303;5658;173
1304;5659;41
1305;5676;94
1306;5682;192
1307;5684;159
1308;5690;360
1309;5691;14
1310;5693;256
1311;5701;130
1312;5705;292
1313;5707;346
1314;5712;48
1315;5714;345
1316;5717;107
1317;5724;339
1318;5728;127
1319;5733;107
1320;5734;302
1321;5737;352
1322;5740;33
1323;5750;423
1324;5752;203
1325;5757;47
1326;5767;515
1327;5771;356
1328;5774;161
1329;5777;259
1330;5781;325
1331;5782;311
1332;5784;306
1333;5786;312
1334;5792;265
1335;5795;24
1336;5796;148
1337;5797;23
1338;5799;78
1339;5801;192
1340;5806;382
1341;5808;369
1342;5810;126
1343;5816;40
1344;5819;264
1345;5824;145
1346;5828;299
1347;5832;316
1348;5833;240
1349;5835;64
1350;5836;820
1351;5837;254
1352;5847;161
1353;5848;150
1354;5849;193
1355;5856;88
1356;5857;108
1357;5863;241
1358;5864;143
1359;5865;497
1360;5866;73
1361;5869;124
1362;5872;13
1363;5877;390
1364;5886;98
1365;5888;127
1366;5890;126
1367;5891;506
1368;5896;308
1369;5897;619
1370;5899;179
1371;5902;191
1372;5904;48
1373;5910;9
1374;5912;180
1375;5915;777
1376;5922;295
1377;5923;534
1378;5932;476
1379;5935;188
1380;5936;425
1381;5941;679
1382;5943;56
1383;5947;226
1384;5950;9
1385;5952;164
1386;5953;377
1387;5954;61
1388;5958;76
1389;5960;26
1390;5963;215
1391;5964;106
1392;5970;293
1393;5972;150
1394;5976;303
1395;5977;284
1396;5978;161
1397;5979;361
1398;5985;48
1399;5986;25
1400;5989;104
1401;5992;346
1402;5994;139
1403;6000;71
1404;6003;455
1405;6008;144
1406;6011;507
1407;6014;182
1408;6019;330
1409;6028;323
1410;6030;247
1411;6031;569
1412;6033;353
1413;6035;99
1414;6037;176
1415;6041;153
1416;6050;544
1417;6063;38
1418;6068;508
1419;6074;87
1420;6078;16
1421;6080;218
1422;6083;361
1423;6086;185
1424;6087;25
1425;6089;234
1426;6100;107
1427;6105;0
1428;6111;339
1429;6122;49
1430;6125;401
1431;6130;371
1432;6135;485
1433;6141;57
1434;6142;75
1435;6145;283
1436;6151;206
1437;6152;11
1438;6154;306
1439;6161;20
1440;6162;101
1441;6163;90
1442;6168;499
1443;6169;292
1444;6170;417
1445;6172;5
1446;6180;213
1447;6182;142
1448;6184;21
1449;6186;15
1450;6190;239
1451;6191;801
1452;6192;601
1453;6194;93
1454;6196;104
1455;6201;177
1456;6204;74
1457;6209;86
1458;6210;460
1459;6212;351
1460;6223;197
1461;6228;198
1462;6231;123
1463;6235;393
1464;6249;9
1465;6255;27
1466;6261;494
1467;6275;143
1468;6276;242
1469;6279;558
1470;6289;741
1471;6294;85
1472;6302;119
1473;6305;339
1474;6306;381
1475;6316;29
1476;6319;197
1477;6326;53
1478;6330;185
1479;6334;83
1480;6341;198
1481;6345;243
1482;6349;39
1483;6363;175
1484;6371;113
1485;6374;254
1486;6375;314
1487;6378;182
1488;6381;476
1489;6382;414
1490;6400;163
1491;6408;482
1492;6416;236
1493;6419;67
1494;6420;312
1495;6429;195
1496;6431;329
1497;6436;6
1498;6437;270
1499;6441;697
1500;6449;381
1501;6451;732
1502;6454;391
1503;6455;11
1504;6462;773
1505;6463;112
1506;6476;120
1507;6481;204
1508;6487;281
1509;6498;282
1510;6504;386
1511;6514;149
1512;6527;281
1513;6534;362
1514;6535;239
1515;6536;273
1516;6542;48
1517;6543;8
1518;6545;253
1519;6546;272
1520;6550;275
1521;6551;304
1522;6556;84
1523;6561;651
1524;6562;194
1525;6578;159
1526;6580;84
1527;6584;65
1528;6589;208
1529;6591;211
1530;6593;90
1531;6594;112
1532;6595;165
1533;6600;321
1534;6602;132
1535;6605;577
1536;6610;196
1537;6613;145
1538;6617;140
1539;6623;157
1540;6624;105
1541;6633;330
1542;6636;115
1543;6637;103
1544;6640;344
1545;6641;133
1546;6648;380
1547;6652;345
1548;6657;20
1549;6658;251
1550;6662;262
1551;6671;54
1552;6676;142
1553;6680;239
1554;6682;24
1555;6691;32
1556;6692;383
1557;6693;12
1558;6696;281
1559;6699;134
1560;6700;38
1561;6705;165
1562;6707;302
1563;6713;171
1564;6722;285
1565;6724;124
1566;6730;96
1567;6732;187
1568;6733;396
1569;6735;399
1570;6737;150
1571;6739;140
1572;6740;730
1573;6742;268
1574;6746;49
1575;6747;196
1576;6749;751
1577;6755;121
1578;6758;116
1579;6765;241
1580;6771;435
1581;6772;10
1582;6778;30
1583;6788;75
1584;6793;165
1585;6794;116
1586;6801;87
1587;6804;70
1588;6805;478
1589;6816;366
1590;6820;176
1591;6824;195
1592;6829;919
1593;6830;898
1594;6838;564
1595;6847;104
1596;6862;60
1597;6865;123
1598;6872;116
1599;6882;747
1600;6889;126
1601;6890;92
1602;6898;18
1603;6905;14
1604;6910;152
1605;6911;55
1606;6916;528
1607;6919;446
1608;6920;234
1609;6922;68
1610;6927;288
1611;6937;143
1612;6943;34
1613;6945;103
1614;6946;187
1615;6957;714
1616;6965;208
1617;6970;364
1618;6972;130
1619;6978;64
1620;6982;84
1621;6984;100
1622;6987;294
1623;6989;223
1624;7001;23
1625;7003;24
1626;7008;136
1627;7010;203
1628;7011;103
1629;7019;265
1630;7023;59
1631;7035;90
1632;7043;106
1633;7046;308
1634;7049;17
1635;7052;540
1636;7058;235
1637;7081;61
1638;7082;149
1639;7084;149
1640;7092;194
1641;7093;9
1642;7096;237
1643;7098;716
1644;7102;289
1645;7104;155
1646;7106;98
1647;7110;611
1648;7111;390
1649;7112;90
1650;7113;281
1651;7115;161
1652;7118;136
1653;7119;386
1654;7124;75
1655;7126;545
1656;7129;736
1657;7144;10
1658;7146;216
1659;7150;259
1660;7159;270
1661;7161;176
1662;7165;346
1663;7166;104
1664;7180;276
1665;7183;334
1666;7184;35
1667;7201;153
1668;7206;174
1669;7207;93
1670;7209;493
1671;7212;104
1672;7213;768
1673;7219;451
1674;7220;62
1675;7222;243
1676;7226;15
1677;7235;281
1678;7236;166
1679;7243;132
1680;7244;26
1681;7252;257
1682;7253;207
1683;7272;134
1684;7274;132
1685;7276;211
1686;7277;133
1687;7278;122
1688;7280;204
1689;7286;56
1690;7288;173
1691;7296;677
1692;7297;13
1693;7300;432
1694;7307;354
1695;7316;210
1696;7320;7
1697;7323;606
1698;7332;227
1699;7334;395
1700;7350;168
1701;7353;223
1702;7355;177
1703;7357;182
1704;7362;348
1705;7363;398
1706;7367;395
1707;7371;653
1708;7372;0
1709;7377;342
1710;7380;152
1711;7382;56
1712;7383;49
1713;7393;105
1714;7395;20
1715;7397;0
1716;7400;277
1717;7406;279
1718;7410;215
1719;7414;9
1720;7417;210
1721;7422;103
1722;7426;359
1723;7428;278
1724;7429;142
1725;7431;104
1726;7432;210
1727;7433;67
1728;7448;423
1729;7449;140
1730;7450;142
1731;7462;195
1732;7467;154
1733;7472;345
1734;7477;136
1735;7480;526
1736;7481;84
1737;7489;165
1738;7500;839
1739;7507;31
1740;7510;390
1741;7513;156
1742;7517;524
1743;7519;359
1744;7521;82
1745;7529;125
1746;7530;63
1747;7533;490
1748;7538;49
1749;7542;89
1750;7548;375
1751;7549;256
1752;7550;189
1753;7554;132
1754;7556;219
1755;7560;244
1756;7561;23
1757;7569;130
1758;7572;316
1759;7575;163
1760;7578;363
1761;7579;153
1762;7595;297
1763;7597;28
1764;7599;760
1765;7600;289
1766;7602;494
1767;7603;390
1768;7606;91
1769;7622;628
1770;7625;204
1771;7627;26
1772;7630;215
1773;7632;8
1774;7635;177
1775;7637;122
1776;7642;56
1777;7643;181
1778;7644;282
1779;7645;598
1780;7650;88
1781;7663;502
1782;7669;30
1783;7672;413
1784;7673;814
1785;7675;85
1786;7678;86
1787;7679;38
1788;7682;168
1789;7692;180
1790;7693;1
1791;7694;200
1792;7695;61
1793;7696;752
1794;7697;144
1795;7701;101
1796;7709;88
1797;7712;88
1798;7714;71
1799;7717;234
1800;7718;699
1801;7719;17
1802;7720;305
1803;7722;129
1804;7746;139
1805;7748;45
1806;7756;647
1807;7757;152
1808;7758;122
1809;7763;354
1810;7768;94
1811;7775;37
1812;7778;131
1813;7782;305
1814;7785;68
1815;7786;403
1816;7803;99
1817;7810;12
1818;7820;31
1819;7821;9
1820;7824;275
1821;7829;268
1822;7839;123
1823;7843;515
1824;7844;465
1825;7846;33
1826;7850;192
1827;7854;99
1828;7857;418
1829;7858;230
1830;7859;145
1831;7861;64
1832;7863;378
1833;7865;197
1834;7867;69
1835;7876;52
1836;7878;349
1837;7885;64
1838;7887;185
1839;7893;162
1840;7902;458
1841;7903;543
1842;7904;51
1843;7909;57
1844;7914;169
1845;7915;316
1846;7916;351
1847;7920;466
1848;7921;7
1849;7928;398
1850;7931;156
1851;7935;0
1852;7937;226
1853;7940;335
1854;7942;70
1855;7944;170
1856;7945;87
1857;7946;130
1858;7948;113
1859;7951;531
1860;7953;394
1861;7960;9
1862;7962;52
1863;7965;235
1864;7971;41
1865;7976;663
1866;7988;110
1867;7989;74
1868;7999;64
1869;8000;7
1870;8004;551
1871;8013;46
1872;8015;122
1873;8017;85
1874;8018;306
1875;8021;139
1876;8022;121
1877;8023;260
1878;8026;890
1879;8028;108
1880;8036;153
1881;8041;99
1882;8042;439
1883;8045;586
1884;8046;51
1885;8047;87
1886;8055;354
1887;8057;575
1888;8058;145
1889;8062;344
1890;8063;167
1891;8069;118
1892;8080;75
1893;8083;51
1894;8086;115
1895;8087;390
1896;8089;429
1897;8090;497
1898;8092;120
1899;8094;164
1900;8096;312
1901;8097;94
