id;check;checking_peer;state;time
140;72;thyrtwnsgs;0;09:43:15
141;72;thyrtwnsgs;2;10:40:52
142;73;zdqppzmxtw;0;06:09:01
143;73;zdqppzmxtw;2;19:21:30
144;74;tsbtjfdece;0;05:54:34
145;74;tsbtjfdece;1;10:21:56
146;75;fwqbodsvpa;0;11:18:33
147;75;fwqbodsvpa;1;23:20:45
148;76;tsbtjfdece;0;15:29:38
149;76;tsbtjfdece;1;15:57:12
150;77;uikzndwawe;0;23:07:59
151;77;uikzndwawe;1;23:47:14
152;78;tsbtjfdece;0;08:17:24
153;78;tsbtjfdece;2;10:20:57
154;79;wvyxlwyzfp;0;14:39:13
155;79;wvyxlwyzfp;1;23:33:39
156;80;tsbtjfdece;0;07:30:29
157;80;tsbtjfdece;2;22:25:50
158;81;puuiraipef;0;00:28:10
159;81;puuiraipef;1;23:27:13
160;82;tsbtjfdece;0;20:28:45
161;82;tsbtjfdece;2;21:51:35
162;83;pmmmfhgqst;0;11:25:34
163;83;pmmmfhgqst;1;14:09:46
164;84;tsbtjfdece;0;20:55:43
165;84;tsbtjfdece;2;22:22:55
166;85;ridgedprtg;0;15:23:21
167;85;ridgedprtg;2;19:54:52
168;86;tsbtjfdece;0;05:40:04
169;86;tsbtjfdece;1;09:36:53
170;87;vufaenjenw;0;18:15:07
171;88;tsbtjfdece;0;07:34:41
172;88;tsbtjfdece;1;09:15:39
173;89;rpsgcamffb;0;06:55:52
174;89;rpsgcamffb;2;20:08:26
175;90;tsbtjfdece;0;07:45:12
176;90;tsbtjfdece;2;22:06:30
177;91;ubvvcurpkw;0;16:25:47
178;91;ubvvcurpkw;1;23:14:44
179;92;tsbtjfdece;0;03:23:23
180;92;tsbtjfdece;2;08:49:46
181;93;apjlxqozfr;0;06:06:39
182;93;apjlxqozfr;2;09:10:39
183;94;tsbtjfdece;0;12:20:56
184;94;tsbtjfdece;1;23:24:08
185;95;gqqubkzijp;0;13:07:51
186;95;gqqubkzijp;1;18:03:32
187;96;vexcsqfiqj;0;14:41:03
188;96;vexcsqfiqj;1;20:10:09
189;97;vxleeglmbx;0;21:26:23
190;97;vxleeglmbx;1;22:30:46
191;98;vexcsqfiqj;0;05:20:47
192;98;vexcsqfiqj;2;10:11:15
193;99;fjtetfarhj;0;07:43:02
194;99;fjtetfarhj;2;10:29:07
195;100;vexcsqfiqj;0;15:32:51
196;100;vexcsqfiqj;2;19:07:39
197;101;upkiseknsk;0;05:56:11
198;101;upkiseknsk;1;17:06:04
199;102;vexcsqfiqj;0;21:06:37
200;102;vexcsqfiqj;2;23:01:14
201;103;hnmowbapyg;0;23:21:49
202;103;hnmowbapyg;1;23:35:57
203;104;izxjnapetl;0;21:33:23
204;104;izxjnapetl;2;21:56:34
205;105;ufxxdgaonz;0;23:40:06
206;105;ufxxdgaonz;1;23:48:49
207;106;qgljzebhhh;0;17:05:26
208;106;qgljzebhhh;1;23:28:38
209;107;yhkmdwuaab;0;18:33:50
210;107;yhkmdwuaab;1;20:28:22
211;108;qgljzebhhh;0;10:46:50
212;108;qgljzebhhh;2;11:07:29
213;109;wpqjptdywz;0;14:08:03
214;110;qgljzebhhh;0;23:30:55
215;110;qgljzebhhh;1;23:44:19
216;111;qzugvmwyuj;0;19:26:38
217;111;qzugvmwyuj;2;21:37:52
218;112;kztnjrkspn;0;00:06:49
219;112;kztnjrkspn;2;10:22:18
220;113;jkcyxzyxad;0;10:23:42
221;113;jkcyxzyxad;1;18:13:02
222;114;kztnjrkspn;0;22:01:29
223;114;kztnjrkspn;1;22:30:26
224;115;bxpbsefyup;0;11:12:45
225;115;bxpbsefyup;2;16:56:18
226;116;kztnjrkspn;0;07:13:53
227;116;kztnjrkspn;2;08:53:53
228;117;salzoudbvi;0;09:04:30
229;117;salzoudbvi;2;13:18:55
230;118;kztnjrkspn;0;04:48:04
231;118;kztnjrkspn;2;12:42:52
232;119;uhekdxgyae;0;03:18:49
233;119;uhekdxgyae;1;11:36:39
234;120;kztnjrkspn;0;07:51:18
235;120;kztnjrkspn;2;09:12:19
236;121;fkhuuqvqga;0;07:27:50
237;121;fkhuuqvqga;1;11:34:50
238;122;gylmepbguu;0;00:51:25
239;122;gylmepbguu;2;05:41:34
240;123;vrcksyouoq;0;17:59:00
241;123;vrcksyouoq;1;21:35:22
242;124;gylmepbguu;0;07:12:48
243;124;gylmepbguu;1;15:01:00
244;125;ksuqrqxybk;0;08:15:52
245;125;ksuqrqxybk;1;22:45:11
246;126;gylmepbguu;0;09:01:47
247;126;gylmepbguu;2;18:08:45
248;127;idzrgwibxa;0;13:06:18
249;127;idzrgwibxa;1;22:58:18
250;128;gylmepbguu;0;00:23:55
251;128;gylmepbguu;2;16:18:46
252;129;fwpzdovoky;0;13:50:23
253;129;fwpzdovoky;2;19:08:59
254;130;gylmepbguu;0;14:38:14
255;130;gylmepbguu;2;15:04:34
256;131;mbdysqhzrc;0;14:45:20
257;132;gylmepbguu;0;13:00:10
258;132;gylmepbguu;1;20:02:25
259;133;uqlahafhut;0;16:52:14
260;133;uqlahafhut;1;20:26:07
261;134;fjztnkwlhg;0;21:27:09
262;134;fjztnkwlhg;1;23:14:11
263;135;jkpkpvygcd;0;06:28:41
264;135;jkpkpvygcd;1;06:32:07
265;136;fjztnkwlhg;0;23:31:29
266;136;fjztnkwlhg;2;23:32:59
267;137;oejvdzfzoq;0;06:52:03
268;137;oejvdzfzoq;2;12:49:34
269;138;fjztnkwlhg;0;23:33:31
270;138;fjztnkwlhg;2;23:47:42
271;139;bqkefaphlh;0;15:12:00
272;139;bqkefaphlh;2;15:42:43
273;140;fjztnkwlhg;0;04:46:21
274;140;fjztnkwlhg;1;09:24:39
275;141;mvxdjdolfw;0;12:12:32
276;141;mvxdjdolfw;1;17:36:07
277;142;fjztnkwlhg;0;03:56:32
278;142;fjztnkwlhg;1;14:59:24
279;143;gvekdpwxdk;0;16:48:51
280;143;gvekdpwxdk;1;23:21:24
281;144;hyhhddrzho;0;06:33:36
282;144;hyhhddrzho;2;13:49:50
283;145;mxvzvsuoxx;0;00:59:12
284;145;mxvzvsuoxx;1;11:30:52
285;146;hyhhddrzho;0;16:01:50
286;146;hyhhddrzho;1;23:43:34
287;147;ytvesigegb;0;01:48:11
288;147;ytvesigegb;2;23:06:04
289;148;hyhhddrzho;0;12:44:32
290;148;hyhhddrzho;2;22:06:29
291;149;qybfujjizv;0;15:14:55
292;149;qybfujjizv;2;17:43:24
293;150;hyhhddrzho;0;21:37:48
294;150;hyhhddrzho;2;23:52:58
295;151;srqmfjnusl;0;01:01:14
296;151;srqmfjnusl;2;11:42:43
297;152;hyhhddrzho;0;16:40:24
298;152;hyhhddrzho;1;17:28:19
299;153;scmvufudkl;0;16:39:57
300;154;hyhhddrzho;0;22:11:18
301;154;hyhhddrzho;1;22:31:45
302;155;bdmuiilmnu;0;19:27:59
303;155;bdmuiilmnu;1;20:17:20
304;156;hyhhddrzho;0;14:06:00
305;156;hyhhddrzho;1;23:39:05
306;157;phheptivfl;0;02:51:38
307;157;phheptivfl;1;04:17:02
308;158;hyhhddrzho;0;09:56:09
309;158;hyhhddrzho;2;10:27:13
310;159;dsafmjlkwz;0;20:43:17
311;159;dsafmjlkwz;1;20:58:30
312;160;hyhhddrzho;0;23:29:56
313;160;hyhhddrzho;2;23:58:28
314;161;fxggxeznrw;0;16:23:37
315;161;fxggxeznrw;1;19:24:09
316;162;cyjmrrlgqe;0;14:40:07
317;162;cyjmrrlgqe;2;17:58:05
318;163;rzmyyhjgwu;0;07:32:15
319;163;rzmyyhjgwu;1;12:55:14
320;164;cyjmrrlgqe;0;11:15:51
321;164;cyjmrrlgqe;1;15:52:56
322;165;zjnnnohbro;0;03:56:38
323;165;zjnnnohbro;1;16:40:01
324;166;cyjmrrlgqe;0;01:08:00
325;166;cyjmrrlgqe;1;08:06:06
326;167;pqlrhcusfm;0;21:24:30
327;167;pqlrhcusfm;1;23:52:13
328;168;kcgpafloxc;0;06:35:07
329;168;kcgpafloxc;2;22:03:33
330;169;cixoavnljx;0;18:16:20
331;169;cixoavnljx;2;21:42:17
332;170;kcgpafloxc;0;13:09:50
333;170;kcgpafloxc;1;18:07:32
334;171;kbvicnkkmi;0;19:30:24
335;171;kbvicnkkmi;2;22:22:57
336;172;wofhxrcfmj;0;10:13:20
337;172;wofhxrcfmj;2;13:29:13
338;173;dzmhlvutiy;0;14:50:58
339;173;dzmhlvutiy;2;23:56:26
340;174;wofhxrcfmj;0;15:36:25
341;174;wofhxrcfmj;1;19:36:10
342;175;ndkjcpclwr;0;22:58:40
343;176;wvhpheepdh;0;04:57:21
344;176;wvhpheepdh;1;10:18:12
345;177;kwchuccdut;0;03:02:14
346;177;kwchuccdut;2;06:20:06
347;178;wvhpheepdh;0;19:21:36
348;178;wvhpheepdh;1;23:48:35
349;179;vpqpzmerpl;0;07:46:23
350;179;vpqpzmerpl;2;12:59:38
351;180;wvhpheepdh;0;15:33:55
352;180;wvhpheepdh;1;22:13:51
353;181;qeqnynmqcf;0;16:23:16
354;181;qeqnynmqcf;2;18:50:36
355;182;wvhpheepdh;0;00:56:03
356;182;wvhpheepdh;2;22:52:18
357;183;nddwvprkru;0;19:29:45
358;183;nddwvprkru;1;22:14:40
359;184;wvhpheepdh;0;08:16:46
360;184;wvhpheepdh;2;19:14:40
361;185;omnuyqhcfn;0;16:19:18
362;185;omnuyqhcfn;2;23:57:16
363;186;ecqnbfpiue;0;22:08:21
364;186;ecqnbfpiue;1;22:20:15
365;187;tgamqsoveb;0;03:36:22
366;187;tgamqsoveb;1;16:29:01
367;188;ecqnbfpiue;0;09:15:46
368;188;ecqnbfpiue;2;12:54:09
369;189;znqkrcwabl;0;21:01:02
370;189;znqkrcwabl;1;21:58:48
371;190;ecqnbfpiue;0;17:00:04
372;190;ecqnbfpiue;1;19:43:59
373;191;vzehoiitpi;0;15:44:17
374;191;vzehoiitpi;1;17:45:41
375;192;ecqnbfpiue;0;03:16:05
376;192;ecqnbfpiue;1;13:55:36
377;193;kdvfscrdbf;0;05:22:16
378;193;kdvfscrdbf;1;22:06:27
379;194;ecqnbfpiue;0;19:01:54
380;194;ecqnbfpiue;2;20:47:41
381;195;pxqkvguwdl;0;15:36:05
382;195;pxqkvguwdl;1;22:54:42
383;196;mzimoqmpll;0;16:06:16
384;196;mzimoqmpll;2;23:09:32
385;197;trtthrrpeb;0;08:25:57
386;198;mzimoqmpll;0;16:47:47
387;198;mzimoqmpll;2;23:41:52
388;199;fzepvjzmyt;0;06:00:24
389;199;fzepvjzmyt;1;21:43:11
390;200;mzimoqmpll;0;17:04:17
391;200;mzimoqmpll;1;18:12:28
392;201;fvnsievqef;0;15:08:56
393;201;fvnsievqef;1;16:14:18
394;202;mzimoqmpll;0;11:31:06
395;202;mzimoqmpll;1;22:15:19
396;203;zgwrxogpye;0;14:06:34
397;203;zgwrxogpye;2;22:15:01
398;204;mzimoqmpll;0;10:10:28
399;204;mzimoqmpll;2;16:44:20
400;205;nxzwuznaih;0;17:40:08
401;205;nxzwuznaih;2;22:40:01
402;206;mzimoqmpll;0;05:09:15
403;206;mzimoqmpll;1;06:38:53
404;207;vbiaclusrg;0;22:47:48
405;207;vbiaclusrg;1;23:27:54
406;208;mzimoqmpll;0;01:54:04
407;208;mzimoqmpll;2;20:08:59
408;209;pdejbxwsvg;0;10:30:05
409;209;pdejbxwsvg;2;21:18:42
410;210;grmgfwmbln;0;07:56:05
411;210;grmgfwmbln;2;23:26:26
412;211;ylnqxkjivi;0;09:32:48
413;211;ylnqxkjivi;1;16:03:58
414;212;grmgfwmbln;0;06:00:07
415;212;grmgfwmbln;1;21:57:49
416;213;bcoojbefax;0;06:42:44
417;213;bcoojbefax;2;16:52:23
418;214;grmgfwmbln;0;02:33:20
419;214;grmgfwmbln;1;19:38:11
420;215;iiscfxwzwp;0;07:53:56
421;215;iiscfxwzwp;1;23:56:12
422;216;grmgfwmbln;0;00:59:19
423;216;grmgfwmbln;1;23:51:01
424;217;tikttpforn;0;15:39:18
425;217;tikttpforn;1;21:22:27
426;218;krwjayqexx;0;16:48:41
427;218;krwjayqexx;2;18:52:29
428;219;ahqwwwizgj;0;11:05:06
429;220;krwjayqexx;0;22:57:16
430;220;krwjayqexx;2;23:09:49
431;221;toodgegjkm;0;20:00:38
432;221;toodgegjkm;2;21:46:18
433;222;krwjayqexx;0;12:19:05
434;222;krwjayqexx;1;16:32:08
435;223;kvovxkmsxq;0;00:29:39
436;223;kvovxkmsxq;1;01:55:38
437;224;rpwqhaxkeu;0;19:01:29
438;224;rpwqhaxkeu;2;20:11:13
439;225;kjvjuyoyxy;0;04:21:56
440;225;kjvjuyoyxy;1;16:03:26
441;226;rpwqhaxkeu;0;11:09:52
442;226;rpwqhaxkeu;2;15:51:59
443;227;zkvwkkzwne;0;15:34:59
444;227;zkvwkkzwne;2;20:16:25
445;228;rpwqhaxkeu;0;18:01:22
446;228;rpwqhaxkeu;1;20:49:01
447;229;ipwkxchyoz;0;16:15:30
448;229;ipwkxchyoz;1;18:30:49
449;230;rpwqhaxkeu;0;20:31:00
450;230;rpwqhaxkeu;2;21:58:42
451;231;ggwagrkuya;0;07:41:37
452;231;ggwagrkuya;1;12:59:09
453;232;rpwqhaxkeu;0;16:27:04
454;232;rpwqhaxkeu;1;17:01:28
455;233;aijtqjpxag;0;23:24:27
456;233;aijtqjpxag;2;23:33:54
457;234;rpwqhaxkeu;0;19:21:23
458;234;rpwqhaxkeu;1;22:53:26
459;235;xttgbdoflb;0;00:14:01
460;235;xttgbdoflb;2;22:16:17
461;236;rpwqhaxkeu;0;13:43:30
462;236;rpwqhaxkeu;1;23:18:36
463;237;wppqkwosgt;0;22:08:38
464;237;wppqkwosgt;1;22:30:15
465;238;rpwqhaxkeu;0;03:52:42
466;238;rpwqhaxkeu;2;05:36:56
467;239;zjlaiqdebv;0;21:57:11
468;239;zjlaiqdebv;2;22:56:27
469;240;rpwqhaxkeu;0;23:34:07
470;240;rpwqhaxkeu;1;23:37:03
471;241;ruavlpzwkq;0;12:29:52
472;242;rpwqhaxkeu;0;12:19:08
473;242;rpwqhaxkeu;1;17:29:56
474;243;ptcxezmdze;0;19:37:37
475;243;ptcxezmdze;2;21:00:07
476;244;rpwqhaxkeu;0;20:15:50
477;244;rpwqhaxkeu;2;20:36:45
478;245;ijckrvkufr;0;21:16:27
479;245;ijckrvkufr;1;21:20:10
480;246;rpwqhaxkeu;0;05:10:16
481;246;rpwqhaxkeu;2;18:37:21
482;247;ngpjkvjbzc;0;11:09:25
483;247;ngpjkvjbzc;2;16:47:40
484;248;cvxcngcxhi;0;06:05:56
485;248;cvxcngcxhi;1;08:11:25
486;249;acrjfgkyfj;0;00:18:11
487;249;acrjfgkyfj;1;01:21:49
488;250;iamoxnqjmt;0;21:24:56
489;250;iamoxnqjmt;1;21:55:01
490;251;xwgfzzjmoe;0;17:40:24
491;251;xwgfzzjmoe;1;19:26:14
492;252;iamoxnqjmt;0;12:57:31
493;252;iamoxnqjmt;1;17:08:18
494;253;lyzueawwle;0;03:53:33
495;253;lyzueawwle;1;09:19:39
496;254;iamoxnqjmt;0;06:33:42
497;254;iamoxnqjmt;1;17:14:44
498;255;jfpqphmvip;0;09:49:49
499;255;jfpqphmvip;2;18:38:38
500;256;iamoxnqjmt;0;12:28:18
501;256;iamoxnqjmt;2;18:22:39
502;257;sohiypdjgc;0;08:23:56
503;257;sohiypdjgc;2;18:09:50
504;258;icftmyxypf;0;19:23:14
505;258;icftmyxypf;1;21:12:27
506;259;xjtndtluec;0;14:45:13
507;259;xjtndtluec;1;16:42:58
508;260;icftmyxypf;0;11:45:26
509;260;icftmyxypf;2;16:41:13
510;261;ocfgzuelyy;0;17:11:00
511;261;ocfgzuelyy;1;22:33:14
512;262;icftmyxypf;0;06:00:49
513;262;icftmyxypf;1;21:27:25
514;263;yzueyhvdis;0;22:25:56
515;264;bbfmrykqxk;0;14:19:56
516;264;bbfmrykqxk;2;21:24:24
517;265;rzvwwupzdp;0;16:55:33
518;265;rzvwwupzdp;2;20:48:40
519;266;bbfmrykqxk;0;02:53:03
520;266;bbfmrykqxk;2;10:32:37
521;267;urxybfdkyf;0;03:49:24
522;267;urxybfdkyf;2;05:11:24
523;268;bbfmrykqxk;0;08:38:21
524;268;bbfmrykqxk;2;21:31:37
525;269;prixpltyas;0;01:53:46
526;269;prixpltyas;2;11:20:07
527;270;bbfmrykqxk;0;09:38:38
528;270;bbfmrykqxk;1;20:14:47
529;271;rmoueftgyu;0;15:22:54
530;271;rmoueftgyu;1;15:45:14
531;272;bbfmrykqxk;0;11:14:34
532;272;bbfmrykqxk;1;23:29:37
533;273;curcxoqijc;0;09:45:50
534;273;curcxoqijc;2;18:52:22
535;274;bbfmrykqxk;0;05:41:29
536;274;bbfmrykqxk;2;16:21:10
537;275;egnaaqfsrg;0;17:22:59
538;275;egnaaqfsrg;1;23:14:54
539;276;mgaiwotgyi;0;04:43:21
540;276;mgaiwotgyi;1;05:16:11
541;277;njetkubwoh;0;04:03:39
542;277;njetkubwoh;1;13:47:25
543;278;mgaiwotgyi;0;21:26:19
544;278;mgaiwotgyi;2;23:52:30
545;279;kkgpzkpsnf;0;18:34:30
546;279;kkgpzkpsnf;2;20:46:52
547;280;mgaiwotgyi;0;18:47:59
548;280;mgaiwotgyi;2;20:35:12
549;281;hemsvqighy;0;22:37:43
550;281;hemsvqighy;2;22:38:28
551;282;mgaiwotgyi;0;15:16:21
552;282;mgaiwotgyi;1;15:22:40
553;283;cqwpurhqqm;0;05:23:25
554;283;cqwpurhqqm;1;06:11:00
555;284;owfzlpfxuj;0;03:18:09
556;284;owfzlpfxuj;2;13:24:55
557;285;jqypitgvqk;0;20:24:00
558;286;owfzlpfxuj;0;14:53:13
559;286;owfzlpfxuj;2;21:49:21
560;287;oahzgmlakk;0;17:08:08
561;287;oahzgmlakk;1;23:53:50
562;288;owfzlpfxuj;0;17:46:43
563;288;owfzlpfxuj;1;19:49:39
564;289;pezzsimvzo;0;11:47:03
565;289;pezzsimvzo;1;14:24:43
566;290;owfzlpfxuj;0;05:27:23
567;290;owfzlpfxuj;1;21:18:20
568;291;raiodbypec;0;17:37:34
569;291;raiodbypec;1;21:24:44
570;292;owfzlpfxuj;0;11:12:49
571;292;owfzlpfxuj;1;12:27:23
572;293;kssieukgmh;0;13:52:13
573;293;kssieukgmh;2;19:23:19
574;294;owfzlpfxuj;0;11:36:16
575;294;owfzlpfxuj;2;16:07:27
576;295;vfvwrnhifo;0;12:10:15
577;295;vfvwrnhifo;2;13:23:22
578;296;owfzlpfxuj;0;16:17:22
579;296;owfzlpfxuj;1;23:37:22
580;297;osfvdivgor;0;21:18:50
581;297;osfvdivgor;2;22:40:34
582;298;owfzlpfxuj;0;09:12:16
583;298;owfzlpfxuj;2;17:01:54
584;299;dnuhcaywvy;0;09:15:34
585;299;dnuhcaywvy;2;14:19:55
586;300;owfzlpfxuj;0;12:00:14
587;300;owfzlpfxuj;1;12:50:49
588;301;xtedayzfan;0;22:56:39
589;301;xtedayzfan;1;23:22:45
590;302;owfzlpfxuj;0;04:31:26
591;302;owfzlpfxuj;2;23:47:57
592;303;hqhkxvvrwq;0;14:53:34
593;303;hqhkxvvrwq;1;19:42:25
594;304;owfzlpfxuj;0;18:55:07
595;304;owfzlpfxuj;2;20:01:45
596;305;fpmoyenjlx;0;08:29:26
597;305;fpmoyenjlx;2;14:47:54
598;306;owfzlpfxuj;0;01:52:42
599;306;owfzlpfxuj;1;03:35:51
600;307;ykqfggqxod;0;11:30:35
601;308;owfzlpfxuj;0;17:06:07
602;308;owfzlpfxuj;2;19:21:23
603;309;xvrbybaoiu;0;01:20:04
604;309;xvrbybaoiu;2;15:53:39
605;310;owfzlpfxuj;0;15:16:33
606;310;owfzlpfxuj;2;22:04:52
607;311;tkeecgxzar;0;01:22:13
608;311;tkeecgxzar;2;06:47:47
609;312;owfzlpfxuj;0;03:33:33
610;312;owfzlpfxuj;1;20:15:31
611;313;utmuukwkuu;0;15:36:07
612;313;utmuukwkuu;2;23:08:09
613;314;owfzlpfxuj;0;10:34:56
614;314;owfzlpfxuj;1;11:47:00
615;315;tykrgylyfv;0;07:48:43
616;315;tykrgylyfv;2;18:21:43
617;316;owfzlpfxuj;0;10:22:53
618;316;owfzlpfxuj;2;20:09:15
619;317;etdgpadulo;0;14:31:44
620;317;etdgpadulo;2;18:07:46
621;318;owfzlpfxuj;0;23:40:38
622;318;owfzlpfxuj;1;23:44:02
623;319;ngfdtxqwph;0;14:37:47
624;319;ngfdtxqwph;1;15:51:04
625;320;owfzlpfxuj;0;15:49:26
626;320;owfzlpfxuj;1;20:04:49
627;321;irypnfouub;0;01:45:14
628;321;irypnfouub;2;14:46:01
629;322;owfzlpfxuj;0;02:30:44
630;322;owfzlpfxuj;2;05:15:01
631;323;fgtjhaluwu;0;23:50:15
632;323;fgtjhaluwu;1;23:55:17
633;324;owfzlpfxuj;0;19:03:55
634;324;owfzlpfxuj;2;19:58:09
635;325;ogtgzadqjv;0;02:07:04
636;325;ogtgzadqjv;1;12:56:46
637;326;owfzlpfxuj;0;15:41:50
638;326;owfzlpfxuj;2;17:06:43
639;327;kcowqkanng;0;04:48:19
640;327;kcowqkanng;2;22:50:39
641;328;lyeoxpfbah;0;17:03:11
642;328;lyeoxpfbah;1;18:42:03
643;329;kmwavkjdcf;0;12:14:38
644;330;fgpshbvgpw;0;21:09:15
645;330;fgpshbvgpw;2;23:38:00
646;331;ajsrzylgos;0;16:08:18
647;331;ajsrzylgos;2;16:40:41
648;332;fgpshbvgpw;0;20:45:57
649;332;fgpshbvgpw;2;23:14:24
650;333;jjbtwwbelo;0;04:47:47
651;333;jjbtwwbelo;2;19:55:26
652;334;fgpshbvgpw;0;03:29:40
653;334;fgpshbvgpw;1;13:40:11
654;335;pptaypanxo;0;22:21:08
